Family	NW001-1	NW001-3	NW001-4	NW002-1	NW002-2	NW003-1	NW003-2	NW003-3	NW003-4	NW003-5	NW005-1	NW005-2	NW005-3	NW005-4	NW005-5	NW006-1	NW006-2	NW006-3	NW007-1	NW007-2	NW007-4	NW007-5	NW007-6	NW008-1	NW010-1	NW010-2	NW010-4	NW010-5	NW011-1	NW011-2	NW011-4	NW011-5	NW011-6	NW012-1	NW012-3	NW012-4	NW012-5	NW012-6	NW013-1	NW013-2	NW013-3	NW013-4	NW013-5	NW014-1	NW015-1	NW015-2	NW015-3	NW015-5	NW015-6	NW016-1	NW016-2-1	NW016-2-2	NW016-2-3	NW016-3	NW016-4-1	NW016-4-2	NW016-5	NW018-1	NW018-2	NW018-3-1	NW018-3-2	NW018-4	NW018-5	NW019-1	NW019-2-1	NW019-2-2	NW019-3	NW019-4	NW019-5	NW020-1	NW020-2	NW020-3	NW020-5	NW020-6	NW021-3	NW021-5	NW021-6	NW022-1	NW022-4	NW022-5-1	NW022-5-2	NW022-6	NW023-1	NW023-3	NW023-4	NW023-6	NW025-1	NW025-2	NW025-3	NW025-4	NW026-1	NW026-2	NW026-3	NW026-4	NW026-5	NW027-1	NW027-2	NW027-3	NW027-5	NW027-6	NW028-1	NW028-2	NW028-3	NW028-4	NW028-5	NW029-1	NW029-2	NW029-3	NW029-5	NW030-1	NW030-2	NW030-4	NW030-5-1	NW030-5-2	NW030-6	NW031-1	NW031-2	NW031-3	NW031-4	NW031-5	NW032-1	NW032-2	NW032-3	NW032-4-1	NW032-4-2	NW032-4-3	NW032-5	NW033-1	NW033-2	NW033-3	NW033-4	NW033-5	NW034-1	NW034-2-1	NW034-2-2	NW034-3	NW034-4	NW034-5	NW035-1	NW035-2	NW035-4-1	NW035-4-2	NW035-5	NW036-1	NW036-2	NW036-3	NW036-4	NW036-5	NW038-1	NW038-2	NW038-3	NW038-4	NW038-5	NW040-1	NW040-2-1	NW040-2-2	NW040-3	NW041-1	NW041-2	NW042-1	NW042-3	NW042-4	NW042-5	NW043-1	NW043-3	NW043-4-1	NW043-4-2	NW043-6	NW044-1	NW045-1	NW045-2	NW045-3	NW045-4-1	NW045-4-2	NW045-5	NW046-1	NW046-5	NW047-4	NW047-5	NW048-1	NW048-5-1	NW048-5-2	NW049-1	NW049-2	NW049-3	NW049-4	NW049-5	NW050-1	NW050-2	NW050-3	NW050-4	NW050-5	NW051-1	NW051-2	NW051-3	NW051-5	NW051-6	NW052-1	NW052-2	NW052-4	NW053-1	NW053-2	NW053-3	NW053-4	NW053-5
Erysipelatoclostridiaceae	0	0	0	45	24	35	25	32	51	25	86	17	12	34	83	128	153	191	5	16	10	0	5	31	128	0	29	215	57	57	82	131	35	334	403	82	875	1431	611	527	1484	402	366	96	126	84	85	98	86	0	20	38	0	2	0	5	0	108	68	61	19	111	75	30	35	27	69	39	46	83	41	23	219	97	12	0	53	4	65	10	11	5	493	89	195	77	30	69	28	31	24	0	10	20	69	1891	271	263	31	132	0	3	0	5	11	41	27	82	18	11	11	6	0	42	0	29	45	37	27	27	116	0	15	38	24	17	79	89	69	12	9	117	33	6	15	14	7	0	381	254	210	91	201	29	32	106	42	104	378	540	312	356	518	288	338	366	267	0	53	104	69	80	62	31	18	61	64	129	5	50	0	46	13	56	70	158	72	0	0	5	147	32	17	66	0	0	50	79	70	106	208	128	3	11	11	19	10	65	82	26	17	0	0	10	0
Clostridia_UCG-014	0	0	0	0	0	10	15	90	138	142	2	27	0	9	30	145	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	52	0	25	46	133	0	0	158	31	0	755	137	383	540	826	138	93	0	6	9	18	28	5	0	0	0	0	0	0	0	0	0	0	0	0	165	37	208	89	58	0	0	0	0	0	0	0	0	452	123	367	399	274	245	0	421	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	39	23	0	8	0	0	0	0	6	0	2	10	13	0	0	0	0	0	0	0	0	0	0	0	0	98	53	22	12	235	250	1057	192	1050	313	560	0	0	0	0	0	518	512	596	629	167	646	619	613	1138	0	0	72	10	16	0	0	0	17	23	0	331	0	7	0	0	0	0	315	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	511	331	853	699	0	0	0	71	8	31	45	0
Monoglobaceae	12	23	7	61	27	27	65	9	6	13	74	102	63	156	126	37	144	126	7	46	0	0	0	43	0	0	0	0	234	316	68	97	45	104	98	28	319	131	172	19	1447	203	225	20	120	139	143	119	123	25	31	0	30	39	138	41	99	55	110	34	23	63	30	0	0	0	0	0	0	138	71	102	309	158	50	51	195	42	59	23	3	28	263	78	80	43	26	53	76	50	198	33	153	153	53	0	0	0	0	0	63	56	71	39	39	0	0	0	0	48	47	20	17	37	19	34	43	12	12	0	167	89	79	176	88	108	335	13	13	38	0	8	54	205	127	92	201	277	0	5	0	0	0	20	27	91	24	89	20	46	40	28	39	12	31	21	0	4	37	68	97	76	39	35	17	26	21	25	0	73	93	275	244	39	441	61	256	284	22	34	23	141	16	40	16	4	96	8	11	4	0	9	2	0	0	0	6	52	94	0	45	0	2	35	14
Muribaculaceae	0	0	0	296	291	0	0	0	0	0	458	448	77	303	117	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	84	67	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	54	0	0	0	0	0	0	0	1927	1162	1485	2376	1311	0	0	0	0	0	0	0	0	0	0	0	1984	142	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricicoccaceae	0	0	23	111	25	10	0	0	0	0	48	41	14	32	29	0	97	38	0	24	0	66	59	202	0	0	7	12	158	300	36	381	16	124	73	33	104	112	134	14	62	15	12	39	29	37	26	18	13	29	30	0	0	8	26	0	42	176	175	302	57	141	87	0	0	0	0	0	0	129	91	73	269	155	28	22	71	37	0	26	9	42	0	0	0	31	8	24	19	48	85	21	95	61	25	0	0	0	0	0	20	12	27	14	7	0	0	0	6	19	48	17	0	0	9	12	33	0	0	0	49	27	29	52	21	36	109	0	0	0	0	0	53	90	96	28	79	115	39	18	17	26	14	10	26	40	45	48	57	71	90	52	97	36	59	21	0	7	26	50	51	22	20	13	14	43	13	60	0	38	31	141	253	113	332	10	16	72	0	88	409	31	66	132	31	0	306	19	0	0	22	102	0	0	0	0	42	108	118	17	32	0	15	39	8
Eggerthellaceae	4	36	8	6	21	0	22	65	9	0	48	6	4	1	37	294	322	689	9	55	19	0	60	219	0	40	0	15	149	59	69	100	142	19	45	4	55	195	26	31	132	172	18	25	0	10	9	0	0	6	0	31	0	0	0	0	0	9	8	5	0	0	13	28	5	25	27	10	43	29	12	7	52	14	0	0	0	17	256	1	0	23	129	142	261	5	23	0	11	11	49	24	21	0	27	0	0	0	0	0	0	14	0	5	21	18	7	4	6	32	82	44	43	108	188	16	20	18	43	60	0	0	17	49	11	35	39	23	39	11	0	29	161	35	220	82	108	113	113	68	86	62	93	0	0	18	5	23	13	17	40	30	28	0	23	28	16	43	250	85	70	93	29	0	0	0	0	8	13	22	21	106	106	14	66	80	43	5	0	42	31	178	6	0	0	3	37	11	15	6	27	12	7	12	14	11	18	19	11	0	0	3	0	0	0
Anaerovoracaceae	0	4	0	0	0	0	18	18	30	12	11	0	7	10	38	33	33	84	0	0	0	0	0	105	0	6	0	0	22	18	20	18	5	7	112	0	96	162	84	0	31	40	0	0	14	0	6	0	6	12	4	34	0	5	0	0	2	0	5	0	0	0	17	46	32	30	39	28	92	48	0	8	97	19	0	0	10	0	33	7	13	4	43	0	31	50	49	44	26	264	10	3	0	0	0	35	0	0	10	12	0	0	0	0	0	0	0	16	0	13	0	11	20	52	52	116	92	72	263	238	8	0	53	59	84	35	115	27	29	0	0	15	22	12	35	4	14	0	30	19	48	38	69	0	0	11	0	0	0	15	5	19	44	67	100	97	152	39	59	103	44	87	56	183	38	130	61	241	40	11	0	31	43	0	30	173	108	0	0	6	0	28	0	46	0	3	20	10	0	0	0	6	100	153	220	112	189	0	0	0	202	315	144	130	144
Coriobacteriales_Incertae_Sedis	0	0	14	0	0	4	23	11	16	6	10	9	9	11	22	38	25	60	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20	23	0	35	84	98	0	0	57	27	0	5	0	0	6	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	46	11	11	18	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	9	31	0	0	0	0	0	0	0	0	0	0	0	0	0	221	37	169	77	124	205	432	219	482	260	782	0	0	0	0	0	16	19	68	68	23	9	11	0	0	0	0	239	65	176	102	0	0	0	3	0	45	48	29	141	260	70	125	127	129	27	0	4	0	22	0	0	0	0	0	0	0	0	0	0	31	0	7	14	17	0	0	0	122	113	52	65	304
Porphyromonadaceae	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	679	395	1459	425	0	0	0	0	735	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	100	219	78	9	0	0	0	0	14	0	0	0	0	0	0	8	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	6	18	13	0	0	0	0	0	0	0	0	0	0
Clostridia_vadinBB60_group	0	0	0	11	0	4	7	5	13	25	0	0	0	0	0	23	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	3	2	2	0	28	20	30	322	253	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	12	0	918	100	88	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	173	41	38	0	0	0	11	0	0	66	57	443	172	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	57	13	55	25	15	0	0	0	0	0	96	83	12	119	0	12	64	17	25	17	0	33	0	8	35	89	44	68	118	27	108	0	0	0	0	0	0	59	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	72	83	23	11	0	0	0	0	0	3	0	0
