Variable	Df	R2	F	Pr(>F)
Sex	1	0.0165286756816174	0.750299548863654	0.664
Age	1	0.0401027709267506	1.82041752854933	0.0623
TimeNW	1	0.0169029053753417	0.76728726014684	0.6369
FIScore	1	0.0137911315841855	0.626031994652889	0.8555
Location	1	0.0224986925451736	1.0213013547988	0.3371
Residual	40	0.881177428756313	NA	NA
Total	45	1	NA	NA
