"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"[Eubacterium]_ventriosum_group"	"TimeNW"	"TimeNW"	"TimeNW"	-1.47753189551211	0	0.650187854304741	0.0230581841605807	0.790988339986153	0.0455846884643781	0.830253550381854	NA	"prevalence"	205	83
"[Eubacterium]_xylanophilum_group"	"Age"	"Age"	"Age"	1.1085304582781	0	0.471984181141734	0.0188410926052772	0.790988339986153	0.0373271984399937	0.830253550381854	NA	"prevalence"	205	112
"[Ruminococcus]_gnavus_group"	"Location"	"Center"	"LocationCenter"	-2.48037168994788	0	1.10377936281313	0.0246296381551645	0.790988339986153	0.0486526572346747	0.830253550381854	NA	"prevalence"	205	79
"Akkermansia"	"Location"	"Center"	"LocationCenter"	3.20974543282193	0	1.3849440153616	0.0204711023084293	0.790988339986153	0.0405231385871363	0.830253550381854	NA	"prevalence"	205	141
"Barnesiella"	"TimeNW"	"TimeNW"	"TimeNW"	-4.67851535536219	0	1.88280471778498	0.0129600608877733	0.790988339986153	0.0257521585973319	0.830253550381854	NA	"prevalence"	205	96
"Bilophila"	"TimeNW"	"TimeNW"	"TimeNW"	2.08991293901434	0	0.823265578525433	0.0111308218538673	0.790988339986153	0.0221377485125921	0.830253550381854	NA	"prevalence"	205	142
"Butyricimonas"	"Age"	"Age"	"Age"	2.55385130588809	0	1.14954425239591	0.0263089497982419	0.790988339986153	0.0519257387569975	0.830253550381854	NA	"prevalence"	205	95
"CAG-56"	"Sex"	"Female"	"SexFemale"	-5.03585869741623	0	2.1716291564103	0.0203987647944084	0.790988339986153	0.0403814199836793	0.830253550381854	NA	"prevalence"	205	32
"Desulfovibrio"	"Sex"	"Female"	"SexFemale"	-4.46064043777654	0	1.9083474057173	0.0194165111727989	0.790988339986153	0.0384560214394744	0.830253550381854	NA	"prevalence"	205	76
"Desulfovibrio"	"TimeNW"	"TimeNW"	"TimeNW"	2.20477405000363	0	0.952781986233699	0.0206656189085904	0.790988339986153	0.0409041700123057	0.830253550381854	NA	"prevalence"	205	76
"Dialister"	"Age"	"Age"	"Age"	-2.32836356151472	0	1.0413200941442	0.0253535431840882	0.790988339986153	0.0500642842161889	0.830253550381854	NA	"prevalence"	205	78
"Eisenbergiella"	"TimeNW"	"TimeNW"	"TimeNW"	-1.33929495801976	0	0.547436504639702	0.0144256974664052	0.790988339986153	0.0286432941854181	0.830253550381854	NA	"prevalence"	205	99
"Enterorhabdus"	"TimeNW"	"TimeNW"	"TimeNW"	1.92705627648086	0	0.8516770025061	0.0236565991624963	0.790988339986153	0.0236565991624963	0.830253550381854	NA	"prevalence"	205	9
"Eubacterium"	"Location"	"Center"	"LocationCenter"	4.37756704648755	0	1.77872356613215	0.0138522502754766	0.790988339986153	0.0275126157132588	0.830253550381854	NA	"prevalence"	205	30
"Family_XIII_UCG-001"	"FIScore"	"FIScore"	"FIScore"	1.11091938458375	0	0.474110449109997	0.0191208844565072	0.790988339986153	0.0378761606906152	0.830253550381854	NA	"prevalence"	205	35
"Gastranaerophilales"	"Sex"	"Female"	"SexFemale"	-2.14479306921883	0	0.940663675120936	0.0226026518762562	0.790988339986153	0.0446944238806732	0.830253550381854	NA	"prevalence"	205	38
"Holdemania"	"TimeNW"	"TimeNW"	"TimeNW"	-0.82127030704274	0	0.367172827989759	0.0253033103119424	0.790988339986153	0.0499663631111423	0.830253550381854	NA	"prevalence"	205	65
"Lachnospiraceae_UCG-001"	"Location"	"Center"	"LocationCenter"	-3.39327767827812	0	1.36317298598006	0.0128013092987774	0.790988339986153	0.0254387450777919	0.830253550381854	NA	"prevalence"	205	59
"Phascolarctobacterium"	"TimeNW"	"TimeNW"	"TimeNW"	2.00935467085709	0	0.900763477745107	0.0256994196068402	0.790988339986153	0.0507383790455519	0.830253550381854	NA	"prevalence"	205	118
"UCG-008"	"Sex"	"Female"	"SexFemale"	-2.67333598392812	0	1.17759017767735	0.0231969567967153	0.790988339986153	0.0231969567967153	0.830253550381854	NA	"prevalence"	205	6
"Veillonella"	"Location"	"Center"	"LocationCenter"	-3.4059232657405	0	1.35303294443519	0.0118274603395506	0.790988339986153	0.0235150318610175	0.830253550381854	NA	"prevalence"	205	43
"Victivallaceae"	"Sex"	"Female"	"SexFemale"	-5.87102078698876	0	2.46874303160451	0.0174001372433255	0.790988339986153	0.0174001372433255	0.82405790284544	NA	"prevalence"	205	21
"Alistipes"	"Sex"	"Female"	"SexFemale"	-0.780581766616811	0.120634302437176	0.3644572774314	0.0311206096207143	0.794208704278951	0.0612727268982638	0.862681091408888	NA	"abundance"	205	184
"Bilophila"	"FIScore"	"FIScore"	"FIScore"	0.324522986486409	-0.109824456238188	0.178191989103177	0.0309204068318765	0.794208704278951	0.0593634307330378	0.849280049358137	NA	"abundance"	205	142
"Parasutterella"	"Location"	"Center"	"LocationCenter"	-2.19827284282833	-0.366942410777038	0.654073295230857	0.0317092495387769	0.794208704278951	0.0624130225712415	0.8650054846983	NA	"abundance"	205	62
"Bilophila"	"FIScore"	"FIScore"	"FIScore"	1.56832727606542	0	0.723297796038375	0.0301357985434444	0.794208704278951	0.0593634307330378	0.849280049358137	NA	"prevalence"	205	142
"Butyricimonas"	"Location"	"Center"	"LocationCenter"	5.79070733644341	0	2.66324243122765	0.0296820680332415	0.794208704278951	0.0459167438321855	0.830253550381854	NA	"prevalence"	205	95
"Enterorhabdus"	"Location"	"Center"	"LocationCenter"	3.73373319244458	0	1.73964273885956	0.0318518941229559	0.794208704278951	0.0318518941229559	0.830253550381854	NA	"prevalence"	205	9
"Porphyromonas"	"Location"	"Center"	"LocationCenter"	2.37766128721926	0	1.09136275370665	0.0293601432041797	0.794208704278951	0.0578582683993894	0.849280049358137	NA	"prevalence"	205	26
"Subdoligranulum"	"FIScore"	"FIScore"	"FIScore"	-1.58403869119287	0	0.724540999495422	0.028796216860396	0.794208704278951	0.056763211615321	0.849280049358137	NA	"prevalence"	205	137
"UCG-008"	"FIScore"	"FIScore"	"FIScore"	-1.06066901099393	0	0.48880502339884	0.0300127186551648	0.794208704278951	0.0300127186551648	0.830253550381854	NA	"prevalence"	205	6
"Fournierella"	"Location"	"Center"	"LocationCenter"	-4.3657933368351	-0.366942410777038	1.24057968044913	0.0340631442308029	0.815460436314924	0.0669659906667173	0.883092238873622	NA	"abundance"	205	21
"Fournierella"	"TimeNW"	"TimeNW"	"TimeNW"	-4.79496153212243	-0.0653625359736858	1.57870982112786	0.0332701135572987	0.815460436314924	0.0654333266584818	0.883092238873622	NA	"abundance"	205	21
"Tannerellaceae"	"Age"	"Age"	"Age"	2.57141228977681	0	1.21500568274591	0.0343126021855063	0.815460436314924	0.0674478497022719	0.883092238873622	NA	"prevalence"	205	86
"Monoglobus"	"Sex"	"Female"	"SexFemale"	1.12839495202124	0.120634302437176	0.425431482422421	0.0353917590124817	0.823013191333484	0.0695309414189658	0.893825290414821	NA	"abundance"	205	168
"Veillonella"	"Sex"	"Female"	"SexFemale"	2.96313391364511	0	1.41089211325411	0.0357126039631887	0.823013191333484	0.0200962926882011	0.830253550381854	NA	"prevalence"	205	43
"UC5-1-2E3"	"TimeNW"	"TimeNW"	"TimeNW"	-1.47252051422783	-0.0653625359736858	0.33268488432682	0.0370489672730215	0.838612699909649	0.0727253085700455	0.919216459769492	NA	"abundance"	205	37
"Incertae_Sedis"	"Age"	"Age"	"Age"	1.03868175068862	0	0.499279007949512	0.0374922180104248	0.838612699909649	0.0735787696095084	0.919216459769492	NA	"prevalence"	205	180
"[Eubacterium]_fissicatena_group"	"TimeNW"	"TimeNW"	"TimeNW"	1.47051146724667	-0.0653625359736858	0.638176324715832	0.0500863393082432	0.850581548632962	0.097664037231186	0.93843919025082	NA	"abundance"	205	35
"Actinomyces"	"Age"	"Age"	"Age"	-0.708610424269474	0.0217147887600172	0.330884765588084	0.0455616073451321	0.850581548632962	0.0890473546263921	0.93843919025082	NA	"abundance"	205	41
