Eigvals	3
615.6742036610734	585.8053917669525	116.4851080854061

Proportion explained	3
0.5151659734875785	0.4663929584958303	0.018441068016591244

Species	12014	3
97c5ba49e250a8afbafc10d50f7ce3c2	-0.0026376100063166064	-0.0003242365294605581	-0.0004979264333835625
aa052f0bfe8ffba04ef31df25d0fedfb	-0.0009245534309411714	0.001938384580192013	-0.0009979846235438471
f6adfc2816de3c0d2579d80caf07b266	-0.00180489063820174	-0.003496309855347696	-0.0001568442789707251
86e79c0ea5735c09c291764bb542ac03	0.0028981751307790237	0.005597462020344511	0.00018206915411804402
16193b3a5ac5192338faf16702c87a96	-0.0009961447945511274	-0.0019325319775056016	-9.856424551365385e-05
051984ca50bb64032851bc3bb351df86	0.0043584264788693984	0.004043454399548023	0.0006571944182256082
7c785a3e79f33e865d4632bfa79e912d	0.009356722523254543	0.004900390181443743	0.0019363737530696723
n7	-0.001571622069464968	-0.002471825818589622	-0.00018625311547570568
47134c1f1d91bfe9c692d92891703fdb	0.003744208212000901	0.007233337897451167	0.0002430361892709272
n9	-0.0028946523766881184	-0.0029673392149139493	-0.0004869914659530871
793d1f8390fdd926b9e3788742d3ec2a	0.0032132781572719177	0.0014452358849753098	-0.0010867100727138855
n11	-0.00528900819368231	-0.005519393917422904	-0.0008587860640134564
n12	-0.003079823768642049	-0.0059614999280575755	-0.00024871881048321005
n13	-0.0028397772944715248	-0.004989620875129999	-0.0023984126665897326
439abc1b897ca7ef5ddb1a747e0c9634	0.0018358854701101615	0.0002707427005970766	-0.0005692656160072336
906233d61fd6ffd7f75ea51cd737256d	-0.002391624373714258	-0.00036542871800465345	0.0006803363786729654
0de093d7a3864843d8de93062b5d8176	-0.002728425716931403	-0.0025875990084331794	0.0010102730204386851
n17	0.002053152059186989	0.00030343778571667097	-0.0006334870544231302
452ee312c9feb4ef8c990a6cebba18ea	0.005936379574045679	0.0012618362607281451	-0.0018856473287183816
66550f99fda3a8ac06cc7c6252b94a7e	-0.006277519514511537	-0.0014370229384594816	0.001988419576663832
