	NW001	NW002	NW003	NW005	NW006	NW007	NW008	NW010	NW011	NW012	NW013	NW014	NW015	NW016	NW018	NW019	NW020	NW021	NW022	NW023	NW025	NW026	NW027	NW028	NW029	NW030	NW031	NW032	NW033	NW034	NW035	NW036	NW038	NW040	NW041	NW042	NW043	NW044	NW045	NW046	NW047	NW048	NW049	NW050	NW051	NW052	NW053
NW001	0.0	0.795380591751447	0.7748346037717068	0.4502141545006188	1.9971441617497672	1.2512661196176087	1.1846472323474027	0.6422205030707003	2.351825878166462	1.237077813408259	1.7771772713268974	1.1445014145408194	0.8961183546236694	1.2420627593021962	1.040145112048128	1.5030598967269413	1.3880234911271603	0.09305055471526948	1.1820361830447101	2.2305709724463743	2.073105473561102	1.6642224532539418	0.6736979926538937	1.699597302767628	1.6772614364893634	0.6722351049718766	1.1322975633691275	2.0272878848789144	1.7309819420867512	0.8183847881398113	1.6846653222696673	1.269415614136367	1.9500890158603221	2.092881618515673	0.24784468003307028	1.3204915472846241	2.4283159432995776	1.3994109217448472	1.708638962401839	1.262722248989368	0.3777108248202107	1.6151492907910479	1.1090024852197777	1.234211986783999	1.4850192607314463	1.1114372575261604	1.855997010755357
NW002	0.795380591751447	0.0	0.8177014601315367	0.5847628938162606	2.7632731012665555	1.08984340927074	1.595016186713968	0.2283475895231128	2.176134894579696	1.5821425481812115	1.490776378150751	1.643059174909594	1.570243556710408	1.9462038805263637	0.9607230204262913	2.2911691561018586	0.7709058371104036	0.7334589077309852	1.5685395989201478	2.463448520133349	2.005926711206606	1.9199641025899838	0.2537038831796743	1.2483641827209475	2.1941499192203553	0.2816797789538506	1.888919069355525	1.247223931641563	1.0754904125500748	0.8235116473204194	2.333654157647804	0.5260714338517855	2.6765326028738103	2.8692841927757535	0.5650337304349229	1.2102200799074896	3.169925868126551	2.185736718860425	1.858917141708126	1.7902356632506657	1.1610100927873368	2.0969473547454456	0.3440276746476985	1.0276754820553986	2.254108107162332	1.2369500634988453	2.235018122387479
NW003	0.7748346037717068	0.8177014601315367	0.0	0.9980629699260304	2.5935594101164376	1.784078242620866	1.9497388737188481	0.638453095341001	2.9098336211923526	1.987218136070662	1.011161866355139	1.9181361738659513	1.0099980905278056	1.382731856973391	1.6003263483778052	1.952652878780937	1.5687977727506557	0.80678357991447	1.9407608475172442	1.6636978007691954	1.329964871336928	2.4017950975696776	0.914253706075044	2.0493482519135853	1.4473393672169312	0.9078269162013751	1.430283222532667	1.8799609208426233	1.2016058783860952	1.3905118776352126	1.6752797878233727	0.9952811494655807	2.623550487199827	2.649571471235291	0.7323999550536429	0.5464321633416765	3.062045219926989	1.8666597574841215	2.412201140729397	1.0746466713183855	0.9603327752912941	2.389929573828469	0.9723820031773664	1.7372014461201797	1.8095648263044362	1.7826686655156854	2.623625693449106
NW005	0.4502141545006188	0.5847628938162606	0.9980629699260304	0.0	2.255616925813613	0.8323974740399775	1.0548014999274937	0.5236808634718785	1.9532125515014933	1.0500607282495356	1.9086179209763463	1.095933317536528	1.341440713732246	1.6849495521817612	0.6258019293483511	1.867023358127845	0.9746905814751333	0.35757876974300135	1.025207997857552	2.5988416816557094	2.3230751794536464	1.4350094788232095	0.4265263465820983	1.2584446927625796	2.115571396850294	0.3527030279539274	1.5565034573559524	1.7022390228484883	1.6403729159675282	0.4029534400441177	2.1323763264881417	1.0772288818447513	2.1347062474433507	2.3776885793974305	0.2856237373059449	1.5192190350329338	2.64251570531795	1.761330822991894	1.4224679932900532	1.6995589763968755	0.7922163698903595	1.5467233681854637	0.8723476919281606	0.8038203108452712	1.8924212119218262	0.7898703747352469	1.7125106168084394
NW006	1.9971441617497672	2.7632731012665555	2.5935594101164376	2.255616925813613	0.0	2.611602142863141	1.698217043566591	2.63648338965543	3.251710861816712	1.8414588480922158	3.54574189277728	1.5052958854158396	1.7295596181225341	1.5432349430427472	2.4541964819085877	0.7677075557887927	3.168543075926079	2.0444377220723506	1.761492496825773	3.196242470108725	3.549144268757013	2.062195797054207	2.5738079780339502	3.2142494388467644	2.231801455949374	2.5953806446288468	1.3134058430537592	3.9518280789457036	3.7087726226618765	2.3391936800302378	1.797282210518684	3.262916521555915	0.4016646914046085	0.19383732286682628	2.223608365292303	3.0440774691397947	0.49444898753764177	0.8031021296484453	2.2943631121722716	2.0861399230911775	1.667056669260407	1.4806738906726973	3.0885285152563515	2.6591832020323602	1.0768695269252113	2.201392292649569	1.8020221761301423
NW007	1.2512661196176087	1.08984340927074	1.784078242620866	0.8323974740399775	2.611602142863141	0.0	0.9671182455372392	1.1852529087148285	1.1278132824509244	0.8615074224395335	2.574804778232633	1.1347819127336949	2.1276716508092535	2.435467859271616	0.22070819476822814	2.437026738317757	0.7694984762667861	1.1616702629756428	0.9105885307105124	3.4172152254069714	3.0716212066125013	1.0019840711544425	0.9332125147044396	0.6058615117250943	2.926769187916724	0.905443537379308	2.2609050917880196	1.6329979869709281	2.0517662963169427	0.45570874163751546	2.901782803407822	1.4460194193053204	2.3753813872734906	2.7719899325128146	1.1134571960011037	2.262833071592223	2.890029803698061	2.3308736328131214	0.856097120398576	2.51205920777593	1.5220442220731056	1.4207057356858408	1.2324614339663118	0.08512506824056615	2.5437753558553142	0.42506920957870015	1.4027314000026898
NW008	1.1846472323474027	1.595016186713968	1.9497388737188481	1.0548014999274937	1.698217043566591	0.9671182455372392	0.0	1.5740478476313609	1.6034219850302633	0.17161988147246146	2.9265778174756387	0.20853486433568652	1.787119534989732	1.9707245476077848	0.8675984716257553	1.7008420993958584	1.6622818827474186	1.143147700361047	0.10041850103565224	3.3469419029537955	3.2543844350119038	0.5382604105218843	1.3713963268809128	1.5627077407905607	2.623121998655844	1.3727908221829204	1.7268980237039497	2.5241801645310895	2.6703074397994344	0.8669067004588143	2.443537754545406	2.089362111470512	1.4242922438318144	1.8733470652707471	1.241748971811167	2.4954243125101767	1.9334043188093637	1.6066328656762576	0.6891033342346377	2.250446773875312	1.2034241599742201	0.5070952873346967	1.871265218150518	1.0318237115290387	1.8983114866890383	0.5433838062381063	0.6744836388907939
NW010	0.6422205030707003	0.2283475895231128	0.638453095341001	0.5236808634718785	2.63648338965543	1.1852529087148285	1.5740478476313609	0.0	2.2981229993115138	1.5707249841443247	1.4129891333888216	1.6041498862439822	1.377757519426172	1.7594361446493438	1.0239710502512933	2.133171444543129	0.9441477906778888	0.5928367382760235	1.5475688398503036	2.301311049426876	1.891922540867003	1.9411199209449332	0.3534199805901665	1.412098584615811	2.0082533530616935	0.2864231718985549	1.7104373078985964	1.419596524286102	1.134937774210807	0.8436571245224058	2.1444761672088037	0.628182740779215	2.56900817612891	2.734929767274505	0.4165513438278404	1.0784840359399803	3.0585119126004576	2.0316250695381766	1.904238971901828	1.6035636688423993	1.0051949281817634	2.0650951627047376	0.4768856429304843	1.1287484627867022	2.0824244669399303	1.2704682704833385	2.2319702335276537
NW011	2.351825878166462	2.176134894579696	2.9098336211923526	1.9532125515014933	3.251710861816712	1.1278132824509244	1.6034219850302633	2.2981229993115138	0.0	1.4656956820307658	3.6486195042559975	1.8015489083941099	3.19187612245468	3.460520920288588	1.3276720189235451	3.2993316747295847	1.6055060834632053	2.266618723004614	1.5533027448949122	4.542900650362488	4.179815567616656	1.1973099989666867	2.0354406084843557	1.062778459030149	4.013508454388023	2.0179116228264578	3.250591175137898	2.267401156593694	3.0039210356666968	1.558937343625038	3.9364943140668958	2.4340527851699725	2.921299296354552	3.437180566157256	2.236376430433125	3.3744308876244307	3.3859223333472452	3.201513848914355	0.959530180785077	3.6042953241911535	2.5712900490709703	1.7917365724755097	2.2470279276639307	1.1734047287099405	3.4743086242819325	1.2814892260354485	1.5402618997096091
NW012	1.237077813408259	1.5821425481812115	1.987218136070662	1.0500607282495356	1.8414588480922158	0.8615074224395335	0.17161988147246146	1.5707249841443247	1.4656956820307658	0.0	2.948681711467812	0.3764336154306603	1.888116944668466	2.0896154285379853	0.779342855267887	1.8434494862819109	1.579099450383555	1.1860743584552076	0.09093351433456037	3.430667230417622	3.30592600312502	0.44096376210050503	1.3685328461553907	1.449958441846638	2.731535802885093	1.3482427376132162	1.850765494582207	2.447833150269269	2.652164061004255	0.8060860222620264	2.565539506318592	2.057494520861941	1.556992964058336	2.018179435625569	1.2643365294839577	2.530088503870621	2.0672706040945528	1.750399968523863	0.5620682846713764	2.351722282486393	1.2969648341400009	0.5773661103691546	1.8367537172498556	0.9289434082191861	2.0352656487964627	0.4449389516160519	0.6675012908380116
