Location	n	age_median	age_q1	age_q3	n_female	p_female	n_male	p_male	res_time_median	res_time_q1	res_time_q3	fi_score_median	fi_score_q1	fi_score_q3	n_0.3_0.4	p_0.3_0.4	n_0.4_0.5	p_0.4_0.5	n_0.5_0.6	p_0.5_0.6	n_0.6_0.7	p_0.6_0.7	n_0.7_0.8	p_0.7_0.8
Center	26	82	76.25	87.75	17	65.38461538461539	9	34.61538461538461	2.19	1.1375	3.3225	0.476	0.4235	0.5375000000000001	3	11.538461538461538	12	46.15384615384615	8	30.76923076923077	2	7.6923076923076925	1	3.8461538461538463
Manor	20	77.5	71	82.5	12	60	8	40	4.205	1.9575	9.7575	0.4455	0.38225	0.4985	8	40	7	35	3	15	2	10	0	0
