Eigvals	3
984.1297015378027	933.2734233294792	298.6838075084799

Proportion explained	3
0.5021516754201352	0.45159386668052826	0.04625445789933651

Species	12014	3
97c5ba49e250a8afbafc10d50f7ce3c2	0.001033110571859766	0.0009708922775933375	-0.0005476355309285976
aa052f0bfe8ffba04ef31df25d0fedfb	-0.00029049141069778484	0.0009839762224390371	-0.0011460000855903177
f6adfc2816de3c0d2579d80caf07b266	0.0026607334319962814	-0.0010135903641886328	-0.00019132666318652665
86e79c0ea5735c09c291764bb542ac03	-0.007815939575651137	0.0015723960431014096	0.0002914185087247922
16193b3a5ac5192338faf16702c87a96	0.0005874441959024157	-0.00020902138695863662	-0.000156053303804928
051984ca50bb64032851bc3bb351df86	-0.002215250991549089	-2.4028027587842747e-05	7.589151659774625e-05
7c785a3e79f33e865d4632bfa79e912d	-0.004244139576311099	-5.847325179001674e-05	0.0003157906247005848
n7	0.0010211824909668345	-0.00021346759386527389	-0.00019390392349953934
47134c1f1d91bfe9c692d92891703fdb	-0.002085267440510069	0.0007851735152889511	-7.357569115576783e-05
n9	0.0018795558419890967	-0.00020336728381955502	-0.00028125095091089883
793d1f8390fdd926b9e3788742d3ec2a	-0.0010629894374811514	-0.0006817639717919004	-0.0006396919713064326
n11	0.004331521731380683	-0.000725575981584125	-0.0004176146574361019
n12	0.006065169486752619	-0.0015771865176074263	-0.0003933830854516037
n13	0.0041373647324764685	-0.001606685239603233	-0.0011398666231062207
439abc1b897ca7ef5ddb1a747e0c9634	-0.001595615447993026	-0.002970857750813014	-0.00032157147740279854
906233d61fd6ffd7f75ea51cd737256d	0.00284174235004225	0.005118871266589589	0.00022012637770096847
0de093d7a3864843d8de93062b5d8176	0.006673483273373245	0.0030830352974883907	0.0011044118488065483
n17	-0.0018216336653262809	-0.003372621801485453	-0.00035108935407658913
452ee312c9feb4ef8c990a6cebba18ea	-0.006267400800597937	-0.0039056764543507496	-0.0021796426503763854
66550f99fda3a8ac06cc7c6252b94a7e	0.009222604070443485	0.0060316493773418835	0.0027177925923241395
86976ec799a7b033829d225d6c82a4f2	0.002087364669629473	0.0014795830403224496	-0.001486115793176969
n21	-0.007049907467126756	-0.004475189040610192	-0.002420344308510385
3c2d1eeb802ea0746a489c674fbbf1b9	-0.011440895761352017	-0.005779233539414579	0.0039527883094007
n23	0.004599404100847424	0.0006807757432676526	0.006759279110670821
n24	-0.005490218865144448	-0.005064402682588839	-0.0010041089729517837
n25	-0.004418579891258504	-0.0025195398050806865	0.008571363946858602
0a8a7eb6b4eaa47208135f225852bba0	-0.0018234784702258996	-0.0023729033024355852	0.0012017474778781014
n27	-0.007497357870649903	-0.006767134262583975	-0.005262723214107021
cb23d7325002536c44df7956bfc06134	-0.0011589523749732469	-0.00414600976359207	0.00026086459954030404
ce1f5520b8a9ea3a05f73138cf7c31fe	0.0018295932790953504	0.006305366297098406	-0.0007109593186879234
8f2216c699b9c607cd3a2464cbe2cbb7	-0.0006992705571090568	-0.002662668284098929	0.00012511783671070447
n31	-0.0013145847338562155	-0.0046764330386844305	0.0003086480534858769
n32	0.002978689047441265	0.010124339168973654	-0.0010274947960640535
bfa446752721b7829e72e1b6c31f3691	0.001342963829304532	0.003971968191297738	-0.00042290280986316824
n34	-0.007394011921944979	-0.006643601440619416	-0.005331087424019162
n35	0.002920945730056116	0.009967866582590475	-0.001018067348864839
b3c1a9f70eef25d0c01c558d1159af2f	0.014645022012921708	0.015402478147087414	0.0015747127613176947
n37	-0.00902277179212841	-0.012185217362893295	-0.004667479780055257
n38	-0.009428534507985822	-0.01298089580855061	-0.004648536485969211
6120079de84091dc4136921230309127	-0.008124608139055372	-0.006079699061004325	-0.0022754250721195197
f1cb43e38f315c30c37e21d64ab7dc46	0.008229690282580544	0.0031616451525173597	0.005567875232693004
n41	0.009136990560431345	0.01031861076825523	0.01372868738662099
5e1d6428f76992671650cacfb5ac1a4a	-0.00048701151455272587	-0.0034451163204870456	-0.00021304887190612922
ee8eb173175018facc66cf1925dbe10b	0.0009460819472272109	0.005805621178326886	6.726002337260212e-05
54a660f5eac8bf7ddd2f409a3efeff91	-0.0005524865876012437	-0.003862484285435225	-0.00022516008335161697
n45	-0.0005754829586170781	-0.00398758924721939	-0.0002286802066452205
2db4f234a3c16e68b1f57ee4043b79db	0.0008889413916607301	0.0054108876714095665	5.66892220331971e-05
n47	0.0008151670310362526	0.004935827222278922	4.0142495771328256e-05
4c3e2146b797e7bbedfa5ea818af9600	-0.0014335021575782138	-0.0028139948972374655	-0.00031848607628227855
n49	0.000775764291044163	0.004683689506826935	3.3185771454035414e-05
n50	-0.012905558861582473	-0.014559861431197639	-0.005734173387293958
n51	-0.0019429376225036767	-0.006845017534241864	-0.00038138227359192574
n52	-0.013243155265294362	-0.016211013683456788	-0.005729957508957034
6b5d8f6d031dff797986cc2fa9d04525	0.00011764390534179884	0.0009055123147805836	-2.784007096013476e-05
