"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)"	"Age"	"Age"	"Age"	-0.0609623271816821	0.115099219485005	0.0434110706679148	0.000973876981622768	0.121734622702846	0.000973876981622768	0.0780974425647489	NA	"abundance"	46	46
"ARO-PWY: chorismate biosynthesis I"	"Age"	"Age"	"Age"	-0.0238132969315725	0.115099219485005	0.0320756796873135	0.0012584354558407	0.124151448601477	0.0012584354558407	0.0796479293335627	NA	"abundance"	46	46
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"Age"	"Age"	"Age"	-0.0224893036332806	0.115099219485005	0.0316273814012673	0.00124612353076992	0.124151448601477	0.00124612353076992	0.0796479293335627	NA	"abundance"	46	46
"PWY-5973: cis-vaccenate biosynthesis"	"Age"	"Age"	"Age"	-0.113800097659156	0.115099219485005	0.060885760682035	0.0011335639629465	0.124151448601477	0.0011335639629465	0.0796479293335627	NA	"abundance"	46	46
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II"	"Age"	"Age"	"Age"	-0.0435692526897176	0.115099219485005	0.0390921962418785	0.00126096549841281	0.124151448601477	0.00126096549841281	0.0796479293335627	NA	"abundance"	46	46
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis"	"Age"	"Age"	"Age"	-0.0435692526897176	0.115099219485005	0.0390921962418785	0.00127465414838701	0.124151448601477	0.00127465414838701	0.0796479293335627	NA	"abundance"	46	46
"PWY-6609: adenine and adenosine salvage III"	"Age"	"Age"	"Age"	-0.0441874943784712	0.115099219485005	0.0390660373072819	0.00126496899124673	0.124151448601477	0.00126496899124673	0.0796479293335627	NA	"abundance"	46	46
"PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)"	"Age"	"Age"	"Age"	-0.040665918753839	0.115099219485005	0.0384269975611548	0.00129881515460006	0.124151448601477	0.00129881515460006	0.0796479293335627	NA	"abundance"	46	46
"TRNA-CHARGING-PWY: tRNA charging"	"Age"	"Age"	"Age"	-0.0490040479084399	0.115099219485005	0.0401897057586137	0.00112628126730951	0.124151448601477	0.00112628126730951	0.0796479293335627	NA	"abundance"	46	46
"PANTO-PWY: phosphopantothenate biosynthesis I"	"Age"	"Age"	"Age"	-0.0551239085014865	0.115099219485005	0.0433234360927226	0.0013479347626526	0.125165370817742	0.0013479347626526	0.080298399432305	NA	"abundance"	46	46
"1CMET2-PWY: folate transformations III (E. coli)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000647321223069763	0.0634112603190719	"All logistic values are the same"	"prevalence"	46	46
"ARO-PWY: chorismate biosynthesis I"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.0012584354558407	0.0796479293335627	"All logistic values are the same"	"prevalence"	46	46
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000370720340691744	0.0634040794880519	"All logistic values are the same"	"prevalence"	46	46
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000529923549908773	0.0634112603190719	"All logistic values are the same"	"prevalence"	46	46
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.00124612353076992	0.0796479293335627	"All logistic values are the same"	"prevalence"	46	46
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	1.04484276590711e-05	0.00690743939883887	"All logistic values are the same"	"prevalence"	46	46
"HISTSYN-PWY: L-histidine biosynthesis"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000125095887263171	0.0472548036539874	"All logistic values are the same"	"prevalence"	46	46
"NONMEVIPP-PWY: methylerythritol phosphate pathway I"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000249305918558207	0.0472548036539874	"All logistic values are the same"	"prevalence"	46	46
"PANTO-PWY: phosphopantothenate biosynthesis I"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.0013479347626526	0.080298399432305	"All logistic values are the same"	"prevalence"	46	46
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000973876981622768	0.0780974425647489	"All logistic values are the same"	"prevalence"	46	46
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000818218128842529	0.0710826999431947	"All logistic values are the same"	"prevalence"	46	46
"PWY-3841: folate transformations II (plants)"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000159123384025017	0.0472548036539874	"All logistic values are the same"	"prevalence"	46	46
"PWY-5686: UMP biosynthesis I"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000227678432850542	0.0472548036539874	"All logistic values are the same"	"prevalence"	46	46
"PWY-5695: inosine 5'-phosphate degradation"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.000486911298869686	0.0634112603190719	"All logistic values are the same"	"prevalence"	46	46
"PWY-5973: cis-vaccenate biosynthesis"	"Age"	"Age"	"Age"	NA	0	NA	NA	NA	0.0011335639629465	0.0796479293335627	"All logistic values are the same"	"prevalence"	46	46
