"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-6969: TCA cycle V (2-oxoglutarate synthase)"	"FI"	"FI"	"FI"	0.0322723494853415	-0.0218447081487729	0.117366493319	0.651675453478022	0.98142320767868	0.651675453478022	0.993695588454555	NA	"abundance"	46	46
"PWY-6969: TCA cycle V (2-oxoglutarate synthase)"	"Location"	"Centre"	"LocationCentre"	0.020962237638859	-0.134762365173622	0.249163100515579	0.542860373664164	0.98142320767868	0.542860373664164	0.993695588454555	NA	"abundance"	46	46
"PWY-7013: (S)-propane-1,2-diol degradation"	"Age"	"Age"	"Age"	0.2693950928504	0.115099219485005	0.267519946026598	0.568396208113472	0.98142320767868	0.636249725853502	0.993695588454555	NA	"abundance"	46	42
"PWY-7013: (S)-propane-1,2-diol degradation"	"FI"	"FI"	"FI"	-0.152904513400786	-0.0218447081487729	0.236796255661531	0.584631366059775	0.98142320767868	0.827468897938632	0.993695588454555	NA	"abundance"	46	42
"PWY-7013: (S)-propane-1,2-diol degradation"	"Location"	"Centre"	"LocationCentre"	-0.451248287179928	-0.134762365173622	0.512002622813041	0.541854676321667	0.98142320767868	0.756222648050784	0.993695588454555	NA	"abundance"	46	42
"PWY-7013: (S)-propane-1,2-diol degradation"	"TimeNW"	"TimeNW"	"TimeNW"	0.17805153203621	-0.0144260567140095	0.245249378730762	0.449395293264312	0.98142320767868	0.696834456920507	0.993695588454555	NA	"abundance"	46	42
"PWY-702: L-methionine biosynthesis II"	"TimeNW"	"TimeNW"	"TimeNW"	-0.0871555271587734	-0.0144260567140095	0.18215975018643	0.704942274364054	0.98142320767868	0.704942274364054	0.993695588454555	NA	"abundance"	46	46
"PWY-7094: fatty acid salvage"	"Age"	"Age"	"Age"	0.420190067064893	0.115099219485005	0.361620576890156	0.41039863894121	0.98142320767868	0.652370235037622	0.993695588454555	NA	"abundance"	46	24
"PWY-7094: fatty acid salvage"	"Location"	"Centre"	"LocationCentre"	-0.64805124294745	-0.134762365173622	0.91283420743552	0.581207273558622	0.98142320767868	0.508331087008605	0.993695588454555	NA	"abundance"	46	24
"PWY-7111: pyruvate fermentation to isobutanol (engineered)"	"FI"	"FI"	"FI"	-0.0613312482119907	-0.0218447081487729	0.0702399043750824	0.59339386665995	0.98142320767868	0.59339386665995	0.993695588454555	NA	"abundance"	46	46
"PWY-7111: pyruvate fermentation to isobutanol (engineered)"	"Location"	"Centre"	"LocationCentre"	-0.199878769681161	-0.134762365173622	0.14911574725544	0.680827954544089	0.98142320767868	0.680827954544089	0.993695588454555	NA	"abundance"	46	46
"PWY-7111: pyruvate fermentation to isobutanol (engineered)"	"TimeNW"	"TimeNW"	"TimeNW"	0.0622660211852146	-0.0144260567140095	0.0731772890637506	0.413654916108537	0.98142320767868	0.413654916108537	0.992909460673586	NA	"abundance"	46	46
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type"	"FI"	"FI"	"FI"	0.0875385195823544	-0.0218447081487729	0.170464056509453	0.527899557441255	0.98142320767868	0.612292746014285	0.993695588454555	NA	"abundance"	46	40
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type"	"Sex"	"Female"	"SexFemale"	0.0433428894261975	-0.0946946073416741	0.37116977364677	0.715286681514291	0.98142320767868	0.317551436884983	0.959114612886705	NA	"abundance"	46	40
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type"	"FI"	"FI"	"FI"	-0.190854843962669	-0.0218447081487729	0.23057527522186	0.469336800955032	0.98142320767868	0.661945642355818	0.993695588454555	NA	"abundance"	46	44
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type"	"Sex"	"Female"	"SexFemale"	-0.316329907532602	-0.0946946073416741	0.473562689404052	0.644839572638423	0.98142320767868	0.365551376049162	0.968877380286383	NA	"abundance"	46	44
"PWY-7118: chitin deacetylation"	"Age"	"Age"	"Age"	0.32011038135585	0.115099219485005	0.308753191556734	0.51286392924039	0.98142320767868	0.46208583956638	0.993695588454555	NA	"abundance"	46	32
"PWY-7118: chitin deacetylation"	"Sex"	"Female"	"SexFemale"	0.199654481939837	-0.0946946073416741	0.655688351640602	0.658284982650229	0.98142320767868	0.511700443545042	0.993695588454555	NA	"abundance"	46	32
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I"	"Age"	"Age"	"Age"	0.0145899048801567	0.115099219485005	0.253685679288146	0.695478066830134	0.98142320767868	0.646475001994052	0.993695588454555	NA	"abundance"	46	39
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I"	"FI"	"FI"	"FI"	0.181926923115346	-0.0218447081487729	0.256514748407228	0.4339433708269	0.98142320767868	0.679579892569188	0.993695588454555	NA	"abundance"	46	39
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I"	"Location"	"Centre"	"LocationCentre"	0.261279997071705	-0.134762365173622	0.547362757629813	0.475863914705937	0.98142320767868	0.458672653913883	0.993695588454555	NA	"abundance"	46	39
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I"	"TimeNW"	"TimeNW"	"TimeNW"	-0.234396299997605	-0.0144260567140095	0.283804941546326	0.452257842062044	0.98142320767868	0.699978528417472	0.993695588454555	NA	"abundance"	46	39
"PWY-7185: UTP and CTP dephosphorylation I"	"FI"	"FI"	"FI"	-0.215187226691754	-0.0218447081487729	0.359491608372175	0.596697323801828	0.98142320767868	0.837346951371393	0.993695588454555	NA	"abundance"	46	27
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II"	"Age"	"Age"	"Age"	0.295847456798707	0.115099219485005	0.283918465835005	0.53596293276998	0.98142320767868	0.160128744749347	0.897061821880354	NA	"abundance"	46	19
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II"	"FI"	"FI"	"FI"	0.278104494187608	-0.0218447081487729	0.316530260630532	0.361309599992251	0.98142320767868	0.592074572937942	0.993695588454555	NA	"abundance"	46	19
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation"	"FI"	"FI"	"FI"	-0.0817526775571984	-0.0218447081487729	0.0662371930385465	0.395155716553145	0.98142320767868	0.395155716553145	0.98522843796502	NA	"abundance"	46	46
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation"	"Sex"	"Female"	"SexFemale"	-0.0404856998868941	-0.0946946073416741	0.134970304379184	0.715116201012021	0.98142320767868	0.715116201012021	0.993695588454555	NA	"abundance"	46	46
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation"	"TimeNW"	"TimeNW"	"TimeNW"	0.0548111740989021	-0.0144260567140095	0.0690071870808619	0.443635190161023	0.98142320767868	0.443635190161023	0.993695588454555	NA	"abundance"	46	46
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV"	"FI"	"FI"	"FI"	-0.118896155297729	-0.0218447081487729	0.194517489408376	0.622096563946004	0.98142320767868	0.622096563946004	0.993695588454555	NA	"abundance"	46	46
"PWY-7208: superpathway of pyrimidine nucleobases salvage"	"TimeNW"	"TimeNW"	"TimeNW"	0.0261102139945239	-0.0144260567140095	0.0650563248237692	0.641721545397805	0.98142320767868	0.641721545397805	0.993695588454555	NA	"abundance"	46	46
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation"	"FI"	"FI"	"FI"	0.165210259469405	-0.0218447081487729	0.268807139902598	0.498976261062057	0.98142320767868	0.647781215652358	0.993695588454555	NA	"abundance"	46	20
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation"	"Sex"	"Female"	"SexFemale"	-0.590744052389168	-0.0946946073416741	0.584059392172702	0.412088771827414	0.98142320767868	0.654360387788602	0.993695588454555	NA	"abundance"	46	20
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation"	"TimeNW"	"TimeNW"	"TimeNW"	0.168766073929591	-0.0144260567140095	0.306076668697967	0.565360654498311	0.98142320767868	0.811088639341863	0.993695588454555	NA	"abundance"	46	20
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP"	"FI"	"FI"	"FI"	-0.171410412423431	-0.0218447081487729	0.333500759584166	0.658777313143638	0.98142320767868	0.883567077974525	0.99796173216516	NA	"abundance"	46	27
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"	"Age"	"Age"	"Age"	-0.0583702111111973	0.115099219485005	0.200129214299226	0.394158625089716	0.98142320767868	0.612627212257848	0.993695588454555	NA	"abundance"	46	36
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"	"FI"	"FI"	"FI"	0.0622653598297208	-0.0218447081487729	0.204955126017733	0.685763456317808	0.98142320767868	0.729358069180825	0.993695588454555	NA	"abundance"	46	36
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II"	"TimeNW"	"TimeNW"	"TimeNW"	0.0260613926154548	-0.0144260567140095	0.0712085685735371	0.659327417744875	0.98142320767868	0.659327417744875	0.993695588454555	NA	"abundance"	46	46
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"FI"	"FI"	"FI"	-0.0409850898403187	-0.0218447081487729	0.0402388697901242	0.678179581449285	0.98142320767868	0.678179581449285	0.993695588454555	NA	"abundance"	46	46
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"TimeNW"	"TimeNW"	"TimeNW"	0.0149985793396504	-0.0144260567140095	0.0419216317622881	0.679882797555687	0.98142320767868	0.679882797555687	0.993695588454555	NA	"abundance"	46	46
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II"	"TimeNW"	"TimeNW"	"TimeNW"	0.0260613926154548	-0.0144260567140095	0.0712085685735371	0.658909313992379	0.98142320767868	0.658909313992379	0.993695588454555	NA	"abundance"	46	46
