feature	Bacteroidaceae	Lachnospiraceae	Tannerellaceae	Enterobacteriaceae	Ruminococcaceae	Marinifilaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Streptococcaceae	Prevotellaceae	Bifidobacteriaceae	Fusobacteriaceae	Clostridiaceae	Barnesiellaceae	Peptostreptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Veillonellaceae	[Eubacterium]_coprostanoligenes_group	Christensenellaceae	Erysipelotrichaceae	Unknown	Lactobacillaceae	Sutterellaceae	Desulfovibrionaceae	Erysipelatoclostridiaceae	Clostridia_UCG-014	Monoglobaceae	Muribaculaceae	Butyricicoccaceae	Eggerthellaceae	Anaerovoracaceae	Coriobacteriales_Incertae_Sedis	Porphyromonadaceae	Clostridia_vadinBB60_group	Pseudomonadaceae	uncultured	Peptococcaceae	Pasteurellaceae	UCG-010	Morganellaceae	Gastranaerophilales	Victivallaceae	RF39	Actinomycetaceae	Izemoplasmatales	Hungateiclostridiaceae	Enterococcaceae	Atopobiaceae	Oscillospirales	Puniceicoccaceae	Selenomonadaceae	Succinivibrionaceae	Carnobacteriaceae	Eubacteriaceae	Synergistaceae	Micrococcaceae	Family_XI	Oxalobacteraceae	DTU014	[Clostridium]_methylpentosum_group	Defluviitaleaceae	Anaerofustaceae	Staphylococcaceae	Campylobacteraceae	Corynebacteriaceae	Syntrophomonadaceae
NW010-4	-6.84909854455578	-2.0335231156932	-11.8148828292179	-1.33308339755211	-6.90799223360934	NA	-8.0335231156932	NA	-6.67533147681907	-4.90498974544782	-8.35545121058056	-10.2299203284967	NA	-9.17102663944314	NA	-3.86943899283995	NA	NA	-2.49521070827087	NA	NA	-6.34727727913486	-6.95690183409029	-6.80365557379461	NA	-6.83760290571795	-8.95690183409029	NA	NA	NA	-11.0075279071603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.05999532705439	NA	NA	NA	NA	NA	NA	-10.3554512105806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW010-5	-9.14626719657585	-1.10359982193686	NA	-2.28632379573982	-5.90234161368976	NA	NA	NA	-6.83960585834179	-6.6260103852425	-10.2242697085771	-7.39419471001943	NA	NA	NA	NA	NA	NA	-2.04380796770659	NA	NA	-7.03664270540135	-9.93476309138213	-6.76483808993982	NA	-8.69375499187834	-5.64600186042997	NA	NA	NA	-9.80923220929827	-9.48730411441091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.8092322092983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW011-1	-1.69829690434432	-1.94229050889552	-6.44110660351897	-11.0638240262355	-3.29684345208406	NA	-5.10329546702496	NA	-4.51342702750474	-7.09699089017075	NA	-5.45716645441507	-12.5232556448728	-4.11068579806764	NA	-4.75011643815315	NA	NA	-4.9515030013693	-5.2355432653234	-8.21947489669574	-9.27532813142926	-8.37350852536816	-6.71590072281524	-6.13955135239879	NA	-8.6903656307081	NA	-6.65289092528944	NA	-7.21947489669574	-7.30408712441068	-10.0638240262355	NA	NA	NA	NA	NA	NA	-9.2378534260106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.66527464974527	NA	NA	NA	NA	NA	NA
NW011-2	-1.54013693103523	-1.93160943722124	-6.76958963386427	-11.8623467747841	-3.08920756806443	NA	-4.95846492904795	-8.65289340915518	-4.58738630264352	-9.05499185272652	NA	-5.57925842176012	NA	-5.1952352327091	NA	-4.6347308313699	NA	NA	-4.89224088417194	-5.75643826621297	-8.81795265542567	-8.65289340915518	-9.02945676061938	-8.08098706125947	-7.18992143281263	-12.0549918527265	-9.02945676061938	NA	-6.55856602660702	NA	-6.63352808428824	-8.97970372542228	-10.6924217733418	NA	NA	NA	NA	NA	NA	-7.5224967718995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6924217733418	NA	NA	NA	NA	NA	NA
NW011-4	-1.14635686683372	-2.50441848867122	-5.27914826323433	-6.73920727698518	-3.8081304950756	NA	-4.31857208808967	-5.54569960108532	-5.08681684874374	-7.03717547292837	NA	-4.57620168948266	NA	-7.42419859603761	NA	-5.64566650914576	NA	NA	-4.85410937179799	-6.03717547292837	-8.17977986837117	-9.12463831417871	-8.07152697771914	-6.89197755738843	-7.67838208428914	-7.86160390834491	-8.08901440444798	NA	-8.35910356781573	NA	-9.27664140762375	-8.3380419522879	-10.1246383141787	NA	-12.1246383141787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6392114870085	NA	NA
NW011-5	-1.39027385643277	-2.70148943676458	-6.18406471950625	-10.56257634276	-3.99728382217895	NA	-5.28087809266115	-9.24064824787261	-5.48149241407234	-6.07393280290619	NA	-3.18449828676447	-11.714579436205	-5.24064824787261	NA	-5.18753691141305	NA	NA	-4.77990568408297	-5.48576074570914	-8.59910221878509	-9.36094248159032	-6.43329332581501	-5.64849024574725	-4.96564120037274	NA	-7.85108143610989	NA	-8.28459159546021	NA	-6.31085725015402	-8.24064824787261	-10.714579436205	NA	NA	NA	NA	NA	-11.0771495155897	-7.27717412389773	NA	NA	NA	NA	NA	-11.42507281901	NA	NA	NA	NA	NA	NA	NA	NA	-10.2995419369262	NA	NA	NA	NA	NA	NA	-13.2995419369262	NA	NA	NA	-11.1840647195062	NA	NA
NW011-6	-1.02542423372288	-2.86647661784098	-6.80047905906674	-9.98810606224251	-3.62925139835679	NA	-5.08121546663399	-7.61371054746102	-4.92761026859244	-7.92281460199079	NA	-4.28766634410142	NA	-4.68635584929278	NA	-4.15897062414844	NA	NA	-5.90064322099217	-5.99815972690644	-8.4950660509624	-8.91010355024124	-8.02874804673986	-8.45759134554373	-7.09194187322705	-11.0425538462649	-9.61371054746102	NA	-9.25114046807631	NA	-10.742993564406	-7.5932464449013	-12.4210654695186	NA	NA	NA	NA	NA	NA	-9.07056822243449	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.742993564406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.4210654695186	NA	NA	NA	-11.9356386423484	NA	NA
NW012-1	-2.19867069598489	-1.73938943378144	-4.0297873737781	-9.30444139158934	-3.87288880552748	-9.23044081014556	-7.00547444514529	NA	-6.40262178552825	-11.7450139829753	-3.86937432135124	-10.9674064043118	NA	-5.44908109662091	-6.87994356306143	-5.98631486686184	-9.50797478567447	NA	-3.75551810976577	-5.38244390359062	NA	-9.59817259464605	NA	NA	-3.59744561300261	NA	-6.16866461255887	-10.4649060637826	-7.85192918689183	NA	-7.59817259464605	-10.3044413915893	-11.7450139829753	-10.2304408101456	NA	NA	NA	-10.3044413915893	-8.82444845046973	NA	NA	NA	-9.23044081014556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW012-3	-2.3264352506105	-1.36410958410231	-6.69308126578706	-9.04587032437919	-3.53850422867819	-4.77756542356425	-5.10557657050346	NA	-4.52910553067594	NA	-6.21640470071583	-9.12604067306317	NA	-5.9791992847339	-5.62596706992853	-5.77554342597904	-6.12089736978721	NA	-5.20004125450695	-5.02410250929695	-5.99793584731549	-8.76347059367846	-10.3484330943996	NA	NA	NA	-5.60068766148017	-8.55488397186705	-7.64061384589293	NA	-8.06549913112812	-8.76347059367846	-7.44796876795053	-9.73176173395112	NA	-9.86300626722938	NA	-11.4479687679505	-8.82905893530604	NA	-11.9333955951208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW012-4	-1.00620667498148	-2.27073466451538	-3.87028730487151	-6.40815279895802	-6.30661477249596	-8.74518778623559	-8.90565245842884	NA	-7.58372436354148	-11.9931152996792	-3.218328240078	-10.9931152996792	NA	-6.42325969134823	-7.42325969134823	-5.90565245842884	-9.60079787690042	NA	-6.83324396290079	-9.90565245842884	NA	-10.408152798958	NA	NA	-5.11659835311418	NA	-7.63556329506109	NA	-9.18576037762157	NA	-8.94872118032072	-11.9931152996792	NA	NA	NA	NA	NA	-10.9931152996792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
