feature	Bacteroidaceae	Lachnospiraceae	Tannerellaceae	Enterobacteriaceae	Ruminococcaceae	Marinifilaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Streptococcaceae	Prevotellaceae	Bifidobacteriaceae	Fusobacteriaceae	Clostridiaceae	Barnesiellaceae	Peptostreptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Veillonellaceae	[Eubacterium]_coprostanoligenes_group	Christensenellaceae	Erysipelotrichaceae	Unknown	Lactobacillaceae	Sutterellaceae	Desulfovibrionaceae	Erysipelatoclostridiaceae	Clostridia_UCG-014	Monoglobaceae	Muribaculaceae	Butyricicoccaceae	Eggerthellaceae	Anaerovoracaceae	Coriobacteriales_Incertae_Sedis	Porphyromonadaceae	Clostridia_vadinBB60_group	Pseudomonadaceae	uncultured	Peptococcaceae	Pasteurellaceae	UCG-010	Morganellaceae	Gastranaerophilales	Victivallaceae	RF39	Actinomycetaceae	Izemoplasmatales	Hungateiclostridiaceae	Enterococcaceae	Atopobiaceae	Oscillospirales	Puniceicoccaceae	Selenomonadaceae	Succinivibrionaceae	Carnobacteriaceae	Eubacteriaceae	Synergistaceae	Micrococcaceae	Family_XI	Oxalobacteraceae	DTU014	[Clostridium]_methylpentosum_group	Defluviitaleaceae	Anaerofustaceae	Staphylococcaceae	Campylobacteraceae	Corynebacteriaceae	Syntrophomonadaceae	Gemellaceae	Sedimentibacteraceae
NW005-1	0.3437354250583	0.374136103455586	0.113504345982616	0.000296798812804749	0.0388382446470214	0.00309518761924952	0.0252278990884036	0.000381598473606106	0.0153911384354463	0.00271358914564342	NA	0.00267118931524274	NA	NA	NA	0.000466398134407462	0.0146703413186347	0.0186559253762985	NA	0.00207759168963324	0.00144159423362307	0.000678397286410854	0.000466398134407462	0.00025439898240407	0.00152639389442442	0.00606317574729701	0.00364638541445834	8.47996608013568e-05	0.0031375874496502	0.0194191223235107	0.00203519185923256	0.00203519185923256	0.000466398134407462	0.000423998304006784	NA	NA	NA	0.000381598473606106	0.00195039219843121	0.000127199491202035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-2	0.225591121119511	0.433408396332636	0.054930030561364	NA	0.0796203956892392	0.00482547852662056	0.0449573749396815	NA	0.0331349525494612	0.0151198327167444	NA	0.00442335531606884	NA	NA	NA	0.000723821778993084	0.0127875180955445	0.011983271674441	0.000804246421103426	0.00152806820009651	0.00715779314782049	0.000562972494772398	0.00402123210551713	0.00152806820009651	0.00032169856844137	0.00611227280038604	0.00136721891587582	0.00217146533697925	0.00820331349525495	0.0360302396654335	0.00329741032652405	0.000482547852662056	NA	0.000723821778993084	NA	NA	NA	NA	0.00329741032652405	NA	NA	NA	NA	NA	NA	0.000723821778993084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000160849284220685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-3	0.300569966267303	0.39443992090264	0.0721181807607305	NA	0.0501337675933465	0.00663021984413167	0.0601372571827382	NA	0.0347795742700942	0.0097708502966151	NA	0.00116319646388275	NA	NA	NA	NA	0.00686285913690822	0.0180295451901826	NA	0.00221007328137722	0.00535070373386065	NA	NA	0.000581598231941375	0.0032569500988717	0.00849133418634407	0.0013958357566593	NA	0.00732813772246132	0.00895661277189717	0.00162847504943585	0.0004652785855531	0.000814237524717925	0.00104687681749447	NA	NA	NA	0.0004652785855531	0.00337326974525997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-4	0.219604374396912	0.437359279511097	0.0738983596011579	0.00731746542296558	0.0468800257317465	0.00804117079446767	0.063927307816018	NA	0.0398842071405597	0.00771952396268897	NA	0.00353811514956578	NA	NA	NA	NA	0.00972981666130589	0.0126246381473142	NA	0.00289482148600836	0.00611128980379543	0.0013669990350595	0.00152782245094886	NA	NA	0.00981022836925056	0.00273399807011901	0.000723705371502091	0.0125442264393696	0.0243647475072371	0.00257317465422966	8.04117079446767e-05	0.000804117079446767	0.000884528787391444	NA	NA	NA	0.000321646831778707	0.00273399807011901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW005-5	0.205207609176515	0.423750236996777	0.0356443152373128	NA	0.0774821462428111	0.00486633381786008	0.0518864943436769	0.000315995702458447	0.0408266447576313	0.0307779814194527	NA	0.0105542564621121	NA	0.00461353725589332	NA	0.000189597421475068	0.0427858181128737	0.0139670100486633	NA	0.00423434241294318	0.00562472350376035	0.00170637679327561	0.00284396132212602	0.00170637679327561	NA	0.00309675788409278	0.00524552866081021	0.00189597421475068	0.00796309170195285	0.00739429943752765	0.00183277507425899	0.0023383681981925	0.00240156733868419	0.00139038109081716	0.000126398280983379	NA	NA	0.000315995702458447	0.00701510459457751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW006-1	0.143521071287909	0.200866482867271	0.068924773532887	0.00559275305238283	0.0477353288696337	0.00551398188263096	0.0248129184718393	0.046947617172115	0.0374950768018905	NA	0.0316660102402521	NA	NA	0.00181173690429303	NA	0.00409610082709728	0.0446632532493108	0.00401732965734541	NA	0.0882237101220953	0.110200866482867	0.0223710122095313	0.00370224497833793	NA	0.00220559275305238	0.0123670736510437	0.0100827097282395	0.0114218196140213	0.00291453328081922	NA	NA	0.02315872390705	0.00259944860181174	0.00299330445057109	0.000866482867270579	0.00181173690429303	NA	NA	0.000472627018511225	0.000157542339503742	0.00976762504923198	NA	NA	NA	0.014651437573848	0.0018905080740449	0.00228436392280425	0.00094525403702245	NA	0.00724694761717211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW006-2	0.0292269472453602	0.336767499634663	0.00906035364606167	0.00270349262019582	0.145769399386234	0.00102294315358761	0.00986409469530907	0.000511471576793804	0.0604267134297823	0.000219202104340202	0.0619611281601637	NA	NA	0.00116907788981441	0.00146134736226801	0.00241122314774222	0.055823469238638	0.00796434312436066	NA	0.0850504164839982	0.0493204734765454	0.0412099956159579	0.00189975157094841	NA	0.000730673681134006	0.0159286862487213	0.0111793073213503	NA	0.0105217010083297	0.00284962735642262	0.00708753470699985	0.023527692532515	0.00241122314774222	0.00182668420283501	NA	NA	NA	NA	0.00102294315358761	0.000438404208680403	0.00489551366359784	NA	NA	NA	0.00672219786643285	NA	0.000365336840567003	NA	NA	0.00664913049831945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW006-3	0.0844786415494826	0.188485009286283	0.00939241178031308	0.0260546564075352	0.0604934996020164	0.00334306182011144	0.0164499867338817	0.0153886972671796	0.0729636508357655	NA	0.00546564075351552	0.00260015919342001	NA	0.00106128946670204	0.00106128946670204	0.000424515786680817	0.0913239586097108	0.00281241708676041	NA	0.132024409657734	0.111966038737066	0.046219156274874	0.00795967100026532	0.000849031573361634	0.000849031573361634	0.0151233749005041	0.0101353144070045	0.00859644468028655	0.00668612364022287	NA	0.00201644998673388	0.0365614221278854	0.00445741576014858	0.00318386840010613	0.000530644733351021	0.00376757760679225	NA	NA	0.000477580260015919	NA	0.0108251525603608	NA	NA	NA	0.00159193420005306	0.000689838153356328	0.00228177235340939	0.00169806314672327	NA	0.00875563810029185	0.000583709206686124	NA	NA	NA	NA	NA	NA	NA	NA	0.000371451313345715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW007-1	0.574574328749181	0.0906188605108055	0.0350360183366077	0.00188277668631303	0.00139161755075311	NA	0.0237393582187295	NA	0.0035199738048461	NA	0.00998690242305173	0.138998035363458	NA	NA	NA	0.00327439423706614	NA	0.0253765553372626	0.0525540275049116	NA	NA	NA	NA	NA	0.0322527832351015	0.00507531106745252	0.000409299279633268	NA	0.000573018991486575	NA	NA	0.000736738703339882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW007-2	0.302904032309763	0.228219757676774	0.0207064555420219	0.00153856016411308	0.0132059747419706	NA	NA	NA	0.0172446951727675	NA	0.0569908327456888	0.178537085710622	NA	NA	NA	NA	NA	0.0160907750496827	0.0498108853131611	NA	NA	NA	NA	NA	0.0989165972177704	0.00532085390089108	0.00102570677607539	NA	0.00294890698121674	NA	0.00153856016411308	0.00352586704275915	NA	NA	NA	NA	NA	NA	NA	0.000384640041028271	NA	NA	0.0010898134495801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW007-4	0.399623785139513	0.160100323962797	0.0958302852962692	NA	0.0519385515727871	NA	0.0708537987250496	NA	0.0122269829658271	NA	NA	0.154875117567144	NA	NA	NA	0.00532971052356568	NA	0.0110774375587836	0.005956735291044	NA	NA	NA	NA	0.00261260319782631	0.0228864040129585	0.00365764447695684	0.00104504127913053	NA	NA	NA	NA	0.001985578430348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW007-5	0.258145814581458	0.207500750075008	NA	NA	NA	NA	NA	NA	0.00504050405040504	0.0015001500150015	NA	0.293609360936094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109150915091509	0.121092109210921	NA	NA	NA	NA	NA	0.00396039603960396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW007-6	0.106210889276744	0.114171384785663	0.00630028521561449	0.00557660380571283	0.000766250904601762	NA	0.00110680686220255	NA	0.00246903069260568	0.00123451534630284	NA	0.141032735941424	NA	0.000170277978800392	NA	0.000553403431101273	NA	NA	0.000170277978800392	NA	NA	NA	0.000723681409901664	0.609297177642501	0.000638542420501469	0.00225618321910519	0.00021284747350049	NA	NA	NA	0.00251160018730578	0.00255416968200587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00170277978800392	NA	NA	0.000340555957600783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW008-1	0.14301822965608	0.390590741088768	0.0112134310593247	0.0257470400300695	0.0851343732381131	0.00350811251017979	0.0320115266553906	NA	0.00739209421787884	0.00131554219131742	0.0274384514189062	0.0385265927457245	NA	0.000375869197519263	NA	0.0137192257094531	0.0625822213869573	0.0446657896385391	0.0259349746288292	0.0159744408945687	0.00745473908413206	0.0207980955960659	0.00231786005136879	NA	NA	0.00194199085384953	0.00194199085384953	NA	0.00269372924888805	NA	0.0126542629831485	0.0137192257094531	0.00657771095658711	0.000751738395038527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW010-1	0.335978639768597	0.336534895794704	0.00871467774234221	0.184343247051843	0.00259586145516576	NA	0.0101980271452941	NA	0.00522880664540533	0.0317436772231699	0.0390120892976341	0.000519172291033153	0.00022250241044278	0.00192835422383742	NA	0.00482088555959356	NA	NA	0.0121263813691315	0.000407921085811763	NA	0.00289253133575614	0.00697174219387377	0.00270711266038715	NA	0.006563821108062	0.00474671808944597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000185418675368983	NA	0.000296669880590373	NA	NA	0.000667507231328339	NA	NA	NA	NA	NA	NA	0.000593339761180746	NA	NA	NA	NA	NA
NW010-2	0.426902907993008	0.117590974098204	0.0643572223105037	0.000635626887017321	0.0117590974098204	NA	0.0297155569680597	0.0927220721436517	0.0232798347370094	0.00635626887017321	0.000397266804385826	NA	NA	NA	NA	0.00150961385666614	0.0467185761957731	0.14293659621802	NA	0.00595900206578738	0.000397266804385826	NA	0.000397266804385826	0.00254250754806928	0.00444938820912125	0.0177180994756078	NA	NA	NA	NA	NA	0.0031781344350866	0.000476720165262991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW010-4	0.00867392963708278	0.244257858580251	0.000277565748386649	0.396919020192908	0.00832697245159947	NA	0.00381652904031643	NA	0.00978419263062938	0.0333772812434946	0.00305322323225314	0.000832697245159947	NA	0.00173478592741656	NA	0.068419956977309	NA	NA	0.177364513219069	NA	NA	0.0122822843661092	0.00804940670321282	0.00895149538546943	NA	0.00874332107417945	0.00201235167580321	NA	NA	NA	0.000485740059676636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00187356880160988	NA	NA	NA	NA	NA	NA	0.000763305808063285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW010-5	0.00176481515883336	0.46535389188185	NA	0.204997213449749	0.0167193015047371	NA	NA	NA	0.00873119078580717	0.0101244659112019	0.000835965075236857	0.00594464053501765	NA	NA	NA	NA	NA	NA	0.242522756827048	NA	NA	0.00761657068549136	0.00102173509195616	0.00919561582760542	NA	0.00241501021735092	0.0199702767973249	NA	NA	NA	0.00111462010031581	0.00139327512539476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000278655025078952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW011-1	0.308149658130547	0.260202998258802	0.0115088970994182	0.000467150804773432	0.101753938930649	NA	0.029090754660891	NA	0.0437847708837644	0.0073045398564573	NA	0.02276298466896	0.000169873019917612	0.0578842315369262	NA	0.0371597231069775	NA	NA	0.0323183420393256	0.0265426593621268	0.00335499214337283	0.00161379368921731	0.00301524610353761	0.00951288911538625	0.0141843971631206	NA	0.00242069053382597	NA	0.00993757166518028	NA	0.00670998428674566	0.00632776999193103	0.000934301609546864	NA	NA	NA	NA	NA	NA	0.00165626194419671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00123157939440268	NA	NA	NA	NA	NA	NA	NA	NA
NW011-2	0.343852816759551	0.262136574229504	0.00916537970858793	0.000268582555563016	0.11750486805882	NA	0.0321627610286712	0.0024843886389579	0.0415967232928221	0.00188007788894111	NA	0.0209158665144699	NA	0.0272947022090915	NA	0.0402538105150071	NA	NA	0.0336735379037132	0.0184986235144027	0.00221580608339488	0.0024843886389579	0.00191365070838649	0.00369301013899147	0.00684885516685691	0.000235009736117639	0.00191365070838649	NA	0.0106090109447391	NA	0.0100718458336131	0.00198079634727724	0.000604310750016786	NA	NA	NA	NA	NA	NA	0.00543879675015108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000302155375008393	NA	NA	NA	NA	NA	NA	NA	NA
