Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Bilophila	0.95045	0	0.73164	0.06725	0.07401	0.45835	0.21392	0.71168	0	0	0.38258	0.26877	0	1.1288	0	0.29506	0.652	0	0	0.34438	0.47032	0.33383	0	0.2083	0	0	0.24957	0.34383	0	1.10466	0	0.22084	0	0.04016	0.17065	0.52584	0.19377	0.1343	0	0.22265	0.56476	0.07034	0.44692	1.84337	0.51084	0.07085	0.1012	0	0.04982
Sutterella	0.90483	0	0	0	0	0	0	0.40846	0	0	0	0	0.71465	0	0	0	1.62035	0	0	0	0	0	0	2.51482	0	0	0	0.19691	0	0	0	0	0	0	0.37501	0.23664	0	0	0	0	0	0.00495	0.18587	0.79771	0	0	0.06115	0	0
Roseburia	0.848	3.15806	0.05377	3.09533	0	1.34202	2.12421	0.46171	6.24111	2.03208	0	3.61916	5.66596	0	0.60032	1.30032	0.28955	0.49114	2.73927	1.55597	0.8655	0.18169	0	5.65999	0	10.49007	0	0.26155	0	4.11109	0	2.25068	0.1437	2.59089	0.24405	0	0.13045	4.88586	2.37696	0	5.22684	0	0	2.33356	12.59721	0.6558	0	11.68334	0.22225
Clostridia_unclassified	0.82096	0.14028	0	0	0	0	0.15212	0.73629	0	0	0	0.48326	0	0	0	0.03568	0	0	0.39435	0	0.28535	0	0	0	0	0.10291	0	0	0	0.09205	0.01683	0	0	0	0	0	0.03731	0.06571	0	0	0.01233	0	0.27267	0	0.13096	0.29407	0	0.17642	0
GGB3602	0.77991	0.62618	0	0	0	0	0	1.62902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12544	14.46767	0.1898	0	0	0	0	0	0	0	0	0	0
GGB9480	0.77015	0	0	0.51016	0	0	0	1.4964	0	0	1.49908	0	0	0.09165	0	0.69757	0	0	0	0.62627	0	0	0.22352	0	0	0	1.20295	0.98889	0	1.38507	1.07382	0	0	0	0	0	1.23167	1.06303	0	0	0	0.50141	0.77875	0.16226	0.77895	0	0.68189	0.43354	0
Desulfovibrio	0.75766	0	0	0.83387	0.53126	0	0	0.36184	0	0	0	0.29619	0	0	1.00728	0	0.04973	0.61334	0	0	0.004	0.30265	0	0	0	0	2.05503	0	0.21228	0	0	0	0.45598	0	0	0.21166	0.4406	0.78403	0.73887	0.31533	0	0.04566	0.80098	1.79459	0	0	0.34101	1.06295	0.36699
Ligilactobacillus	0.71844	0	0	0	0	0	0	0.31683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14362	0	0	0	0	0	0	0	0	0.0874	0	0
Clostridium	0.63152	8.46692	0.07192	3.06863	0.22498	7.34216	1.22442	0	3.84646	2.5474	0	5.34444	4.70653	5.81853	0.14154	8.61043	0.95926	0.22422	7.47156	1.09464	0.30452	2.88538	0.24325	11.33898	11.70406	4.34826	0	1.5672	0.07666	0.26946	0.90007	0.17181	0.26422	0.17047	0.07683	0.01683	0.5055	1.14562	0.75286	0.30678	7.11065	0.56478	0	7.3028	1.87879	0.33885	0.05672	6.69189	0.0426
Blautia	0.52979	1.36816	0.76287	7.96059	0.94611	1.76058	13.24402	0.62822	0.84459	2.40723	5.00823	3.75627	3.77875	1.9041	0.36736	8.13541	0.77528	0.21489	5.43841	0.25123	2.71216	0.79881	1.81581	4.36454	3.90398	2.82861	0	2.8163	0.31892	3.90669	7.81992	3.38102	0.15509	5.43507	1.62445	0.48982	8.07593	2.40056	0.60716	0.28775	1.03405	0	8.3041	3.71318	1.96376	1.30435	0.75402	7.61197	1.78984
Anaerotruncus	0.51625	1.08624	0.86161	0	0	0	0.4647	0.33724	0	0.07417	1.01402	0	0.0226	0.57618	0.45266	0.01925	0	0.21616	0	0.01525	0	0	0.08608	0	0	0	0.31576	0.05606	0.04928	0.19432	0.00665	0	0.24171	0	0	0	0	0.19031	0.24507	0.35353	0	0.00846	0	0	0	0	1.53721	0	0
Clostridiaceae_unclassified	0.49956	0.36387	0.70933	0.92514	1.75224	0.62574	0.82369	0.03719	4.3396	1.10762	0	0.6502	1.36432	0.0446	1.89994	0.92446	0.56482	1.35078	0.47144	0.44654	0.2224	1.62523	0	1.91066	0.3965	0.52691	0.48744	0.85084	0.65109	1.65125	2.77328	1.66324	6.76889	0.12885	0.55291	0	0.01206	1.80658	4.89596	0.56323	1.3956	0	4.09884	1.0743	0.26642	0	3.39324	1.43249	0.26258
Evtepia	0.46368	0.39746	0	0.17854	0	0	0.5718	0.43474	0	0	0	0	0.17964	0.01371	0.0814	0.17522	0	0.09101	0	0	0.77307	0	0	0.17688	0	0.37364	0	0	0	0.0179	0.50006	0	0	0.22981	0	0.5184	0	0.38914	0.44419	0	0.18905	0	0	0.13478	0	0.23875	0	0	0.35115
Enterocloster	0.41043	1.10587	0	0.07089	0	0.12012	0.10858	0.22015	0	0.13615	0.80628	0	0.68311	1.74053	0	10.31076	0.13156	0	0.52559	0.11676	0	0.03938	0.33556	0.02266	7.16925	0.26324	0.14401	0.40278	0.87807	4.90466	0.97573	0	0	0.70183	0	0	0.18486	0.89511	0.05649	0	0.01233	0	3.01696	1.58117	0.06802	0	0	0.19465	0
GGB3433	0.3638	0	0	0.34897	0	0	0	0.46702	0	1.37509	0	0	0.34568	0.32699	0	0.50431	0	0	1.45855	0	0.01716	0.03612	1.46987	0	0	0	0	0	0	0	0	0.13392	0	1.94662	0.04152	0.02957	0.76959	2.92994	0	0.1233	0	0	0.24376	0.02305	0.84544	0.50225	0	0.00901	0.07639
Slackia	0.35439	0	0	0.02399	0	0	0.82636	0	0	0	0	0	0	0	0	0	0	0.09224	0	0	0	0	0	0.14593	0	0	0	0	0	0	0	0	0	0	0.31524	0.12249	0	0	0	0.12651	0	0	0	0	0	0	0	0	0
GGB9699	0.33929	0	0	0.91418	0	0	0	0.18177	0.94278	0.15892	0	0	0	0	0.11748	0	0.1775	0.07755	0	0.04768	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42285	0	0	0.9451	0.06162	0	0.17663	0	0	0	0	0.10391	0	0	0.13011	0.56123
Neglectibacter	0.30247	0	0.62003	0.5775	1.71329	0	1.64043	0.88238	0	2.14936	0.98838	0	0.29631	0.40047	0.79577	0.47648	0	1.26805	0.8034	1.00391	0.36834	0.89853	0.99359	0	0	0	0.54613	0.32021	0.96217	0.42462	0	0	0.25639	1.11277	0.38635	1.56568	0.84349	1.69399	0.52579	0.56446	0	0.91539	0.25544	0	0.2761	0	2.01895	0.2844	0.61318
GGB3653	0.20363	0.32366	0	0.06618	0.18605	0.07112	0.01321	0.07627	0.10056	0.04775	0.04538	0	0.00987	0	0.01771	0	0	0.03121	0	0.02452	0	0	0	0.01149	0	0.01024	0	0	0	0.04723	0	0	0.20619	0	0.06328	0	0.12305	0.10932	0.30794	0.13371	0.12133	0	0.0191	0	0	0.15505	0	0	0
GGB9581	0.15598	0.02926	0	0	0	0.42636	0	0	0.07585	0	0.00931	0.02194	0	0	0.03859	0.01223	0	0	0	0	0	0	0	0.02733	0	0.03145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03454	0	0	0	0	0	0	0.01506	0
Intestinimonas	0.14215	0.42714	0.30741	0.10699	0.04551	0	0	0	0	0.57617	0.04764	0	0	0.17401	0	0	0	0	0.4316	0	0	0.02369	0.10109	0	0	0	0	0.11562	0	1.37318	0	0	0	0.11172	0	0	0	0.00228	0	0.03524	0	0.65278	0	0.07745	0	0	0.33903	0	0
