#mpa_vOct22_CHOCOPhlAnSGB_202403
clade_name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Sarcina	0.0	0.0	0.31454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918|g__GGB9240	0.0	0.0	0.2957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01413	0.07605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter	0.0	0.0	0.27462	0.0	0.03269	0.0	0.0	0.0	0.16169	0.49053	0.64955	0.0	0.02373	0.10182	0.02181	0.04032	0.29518	0.0	0.31402	0.0	0.01607	0.89878	0.04816	0.0	0.0	0.0	0.89568	0.23508	0.0	1.07848	0.0	0.0	0.15501	0.02173	0.11382	0.44649	0.01734	0.06428	0.05472	1.08548	0.13309	0.76242	0.0	0.0	0.0	0.0	0.0	0.05427	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9531	0.0	0.0	0.25841	0.09379	0.0	0.0	0.09039	0.0	0.0	0.03873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09479	0.00982	0.21962	0.0	0.0	0.0	0.0	0.59705	0.0	1.17259	0.0	0.47	0.56802	0.0	0.07383	0.0	4.09152	0.38498	0.15123	0.01018	0.0	0.0	0.02602	0.0	0.0	0.0	0.0	0.0	0.0	0.06857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3220	0.0	0.0	0.24879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84744	1.62976	0.16294	0.0	3.58188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81468	0.0	0.0	0.0	0.0	0.0	0.0	2.91981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9782	0.0	0.0	0.22336	0.0	0.2648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22017	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16549	0.0	0.01554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB36331	0.0	0.0	0.18896	0.0	0.0	0.0	0.0	0.0	0.0	0.28541	0.37	0.02243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13596	0.0	0.0	0.0	0.0	0.0	0.0	0.08786	0.0	0.0	0.0	0.0	0.13567	0.93292	0.0	0.42613	0.0	0.37635	0.0	0.0	0.19189	0.0	0.30939	0.0	0.0	0.12796	0.0	0.0	0.31174	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005	0.0	0.0	0.14736	0.0	0.0	0.0	0.0	0.0	0.0	0.12241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00243	0.0	0.0	0.58872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07465	0.0	0.0	0.0	0.0	0.0	0.0	0.11481	0.0	0.0	0.0	0.3089	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256	0.0	0.0	0.13149	0.0	0.0	0.0	2.69059	0.0	0.0	0.0	0.0	0.0	0.36791	0.0	0.0	0.0	0.0	0.0	1.3349	0.0	0.12464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42862	0.0	0.0	0.0	0.0	0.0	0.51312	0.0	0.0	0.0	0.22691	0.0	0.6803	0.0	0.0	0.0	0.0	0.03636	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB33512	0.0	0.0	0.12471	0.0	1.90462	0.0	0.0	0.0	0.0	0.76056	0.0	0.0	0.0	1.31139	0.01429	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.27239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19226	0.95579	0.0	0.02341	0.0	0.44393	0.0	0.0	0.0	0.0	0.0	0.0	0.20148	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898|f__FGB2898|g__GGB9211	0.0	0.0	0.11128	0.0	0.15986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9770	0.0	0.0	0.10987	0.02667	0.28354	0.0	0.0	0.0	0.0	1.16566	0.02501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10715	0.32202	0.40171	0.0	0.0	0.0	0.02946	0.0	0.0	0.0	0.0	0.0	3.12877	0.0	0.01661	0.0	0.0	0.12109	0.0	0.03601	0.0	3.07851	0.0	0.0	0.0	0.0	1.59433	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longibaculum	0.0	0.0	0.10541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11151	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776|g__GGB4684	0.0	0.0	0.0497	0.0	0.37903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08383	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292|g__GGB3109	0.0	0.0	0.04617	0.10635	0.22332	0.0	0.08551	0.0	0.0	0.0	0.0	0.01826	0.05277	0.0	0.0	0.0	0.04281	0.0	0.09578	0.0	0.0	0.0	0.02191	0.0	0.44532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02138	0.11501	0.15555	0.0	0.0	0.03477	0.0	0.0	0.0	0.36783	0.0	0.0	0.0	0.06443	0.0	0.06515	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9721	0.0	0.0	0.03827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45397	0.0	0.0	0.89914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09396	0.0	0.0	0.0	0.0	0.0	0.0	0.0595	0.0	3.94112	0.0	0.0	0.0	0.0	0.48582	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989|f__FGB2989|g__GGB9365	0.0	0.0	0.02251	0.09506	0.0	0.0	0.0433	0.0	0.0	0.0	0.0	0.0	0.0765	0.0	0.30467	0.0	0.0	0.23635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03113	0.0	0.0	0.0	1.23832	0.25102	0.0	0.0	0.0	0.04087	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena	0.0	0.0	0.02247	0.0	0.0	0.0	1.45333	0.0	0.04578	0.08037	0.0	0.0	0.0	0.58145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64913	0.0	0.0	0.0	0.0	0.13135	0.2278	0.0	0.0	0.0	0.00637	0.04051	0.40055	0.0	0.11197	0.0	2.49631	0.0	0.0806	0.0	0.38089	0.0	0.24836	0.0	0.59093	0.0	0.68505	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter	0.0	0.0	0.00692	0.0	0.0	0.0	0.10536	0.0	0.07361	0.21569	0.11313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.0	0.0	0.0	0.0	0.02936	0.0	0.0	0.05171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05211	0.03172	0.0	0.0	0.0388	0.01861	0.0	0.0	0.04079	0.0	0.00358	0.0	0.01946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Avispirillum	0.0	0.0	0.00418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_laneus	0.0	0.0	17.46502	0.0	0.0	0.0	0.0	0.0	0.0	3.43586	0.0	0.0	0.0	5.09966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6272	1.10598	0.0	0.0	0.0	10.63219	0.0	4.17615	0.0	0.0	0.0	1.98056	0.0	2.34807	0.0	0.0	7.48389	0.0	3.81284	0.0	5.64466	0.0	0.0	0.0	0.0	25.83367	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234	0.0	0.0	4.04039	0.0	1.50297	0.0	0.0	0.0	0.0	4.41691	0.0	0.0	0.00604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27625	0.0	0.0	0.0	0.0	0.0	0.0	0.51917	0.0	0.0	0.32262	2.3504	0.21519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.0	0.0	3.29948	0.0	0.0	0.0	0.0	0.0	0.0	0.79935	2.66693	1.03714	5.85732	0.97169	0.68622	0.24389	3.57674	1.09488	0.0	7.96555	0.32459	2.2559	0.0	1.01211	0.0	0.0	1.20161	0.0	0.0	0.0	0.0	0.0	0.33399	0.39931	0.0	0.0	0.0	1.11066	0.34571	0.43239	0.0	0.0	0.42609	0.0	3.92488	0.0	0.2197	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__GGB4277|s__GGB4277_SGB5832	0.0	0.0	1.18095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005|f__FGB3005|g__GGB9468|s__GGB9468_SGB14861	0.0	0.0	1.08812	0.0	0.27286	0.0	0.0	0.0	1.08219	2.61422	0.72983	1.37835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.20556	0.76018	0.0	0.67507	0.0	0.0	0.0	0.0	1.23967	0.0	0.0	1.69219	0.05524	0.0	0.00159	0.0	1.54174	0.0	1.31006	1.15779	1.71597	0.0	0.46946	0.01446	0.0	0.0	8.76314	2.87129	0.78072
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15267	0.0	0.0	1.00124	0.0	0.0	0.0	0.0	0.0	1.49546	0.56946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4584|s__GGB4584_SGB6338	0.0	0.0	0.75868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3497|s__GGB3497_SGB4672	0.0	0.0	0.75716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90818	0.07166	0.0	0.39708	0.0	0.0	0.0	0.20764	0.0	0.82028	0.0	0.0	0.0	0.0	4.91664	0.0	0.0	0.0	0.0	0.0	0.28107	0.0	0.42119	0.0	0.0	0.37197	0.0	0.0	0.0	1.11782	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_unclassified_SGB15090	0.0	0.0	0.70933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.76889	0.0	0.0	0.0	0.0	0.0	4.46683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15	0.0	0.0	0.70854	1.63406	0.0	0.0	0.13421	0.0	0.8681	0.0	0.0	0.0	0.16789	0.0	0.23418	0.0	1.05142	0.12773	0.0	0.0	0.0	0.0	0.0	0.98603	0.0	0.0	0.0	0.40809	0.0	0.0	0.0	0.11636	0.0	0.0	0.10418	0.0	0.0	0.0	0.10991	0.0	1.28539	0.0	0.0	0.06205	0.06028	0.0	0.0	4.77491	0.434
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787|g__GGB4745|s__GGB4745_SGB6571	0.0	0.0	0.58522	0.0	1.06747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07096	0.0	0.0	0.0	0.0	0.0	0.0	1.30552	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens	0.0	0.0	0.5168	1.79121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57201	0.0	0.0	1.08947	0.0	0.33576	0.0	0.75629	0.0	1.50259	0.0	0.0	0.0	0.01273	0.19402	0.0	0.0	1.33782	0.0	0.16133	0.31618	0.0	0.0	0.0	0.16156	0.24355	0.11872	0.0	0.0	0.0	0.46554	0.13812	0.0	1.99749	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.49921	0.0	0.68181	0.0	0.0	0.0	0.0	0.42143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01443	4.88821	2.76278	0.0	0.0	0.0	0.0	4.72812	0.0	0.80978	0.0	0.0	0.05408	2.95568	0.0	1.37505	3.18949	0.0	1.44132	0.14772	0.5561	0.0	3.29137	0.0	0.0	0.0	0.0	3.93486	0.0	0.99095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9719|s__GGB9719_SGB15272	0.0	0.0	0.46191	0.0	0.04176	0.0	0.0	0.0	0.0	0.00874	1.92323	0.0	0.03606	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81717	0.0	0.0	0.0	0.0	0.0	0.00483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66041	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.0	0.0	0.45261	0.0	0.20547	0.04513	1.02528	0.0	0.0	0.12305	0.0	0.01948	0.0	0.0	0.03285	0.0	0.0	0.03231	0.0	0.0	0.76679	0.0	0.0	1.28487	0.0	0.0	0.0	0.0	0.25064	0.0	0.0	0.32815	0.0153	1.39737	0.0	0.42747	0.0	0.0	0.03162	0.03513	0.0183	0.0	0.70144	0.15481	0.0	0.32351	0.75033	0.06033	0.33932
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bariatricus|s__Bariatricus_massiliensis	0.0	0.0	0.34436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoruminococcus|s__Pseudoruminococcus_massiliensis	0.0	0.0	0.31951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83892	0.0	0.09517	0.0	0.0	0.0	0.0	0.0	2.15822	0.0	0.0	0.0	0.0	0.10992	0.0	0.00512	0.0	0.0	0.0	0.0	0.0	0.53419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22981	0.22343
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Sarcina|s__Sarcina_ventriculi	0.0	0.0	0.31454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918|g__GGB9240|s__GGB9240_SGB14182	0.0	0.0	0.2957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01413	0.07605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9531|s__GGB9531_SGB14932	0.0	0.0	0.25841	0.09379	0.0	0.0	0.09039	0.0	0.0	0.03873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09479	0.00982	0.21962	0.0	0.0	0.0	0.0	0.59705	0.0	1.17259	0.0	0.47	0.56802	0.0	0.07383	0.0	4.09152	0.38498	0.15123	0.01018	0.0	0.0	0.02602	0.0	0.0	0.0	0.0	0.0	0.0	0.06857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3220|s__GGB3220_SGB4252	0.0	0.0	0.24879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84744	1.62976	0.16294	0.0	3.58188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81468	0.0	0.0	0.0	0.0	0.0	0.0	2.91981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9782|s__GGB9782_SGB15403	0.0	0.0	0.22336	0.0	0.2648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22017	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16549	0.0	0.01554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.0	0.0	0.21668	0.79895	0.25053	1.28495	0.22032	0.0	0.08746	0.81265	0.0	0.43224	0.14461	0.07096	0.0	0.43555	0.5632	0.0	0.46036	0.08986	0.91656	0.43619	0.96576	1.04781	0.0	1.26887	0.0	0.83392	0.0	1.23591	0.0	0.24878	0.0	0.05869	0.83063	0.1685	0.25591	0.04431	0.0	0.0	0.34783	0.54383	0.0	1.94455	0.0	0.08875	0.0	1.96766	0.02813
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	0.0	0.0	0.21393	0.0	0.03269	0.0	0.0	0.0	0.16169	0.07838	0.64058	0.0	0.02373	0.10182	0.02181	0.04032	0.29518	0.0	0.31402	0.0	0.01607	0.0347	0.04816	0.0	0.0	0.0	0.0	0.16891	0.0	1.07848	0.0	0.0	0.15501	0.0	0.06606	0.0	0.01734	0.06428	0.05472	0.05213	0.13309	0.0	0.0	0.0	0.0	0.0	0.0	0.05427	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB36331|s__GGB36331_SGB15121	0.0	0.0	0.18896	0.0	0.0	0.0	0.0	0.0	0.0	0.28541	0.37	0.02243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13596	0.0	0.0	0.0	0.0	0.0	0.0	0.08786	0.0	0.0	0.0	0.0	0.13567	0.93292	0.0	0.42613	0.0	0.37635	0.0	0.0	0.19189	0.0	0.30939	0.0	0.0	0.12796	0.0	0.0	0.31174	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005|s__GGB3005_SGB3996	0.0	0.0	0.14736	0.0	0.0	0.0	0.0	0.0	0.0	0.12241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00243	0.0	0.0	0.58872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07465	0.0	0.0	0.0	0.0	0.0	0.0	0.11481	0.0	0.0	0.0	0.3089	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256|s__GGB3256_SGB4303	0.0	0.0	0.13149	0.0	0.0	0.0	2.69059	0.0	0.0	0.0	0.0	0.0	0.36791	0.0	0.0	0.0	0.0	0.0	1.3349	0.0	0.12464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42862	0.0	0.0	0.0	0.0	0.0	0.51312	0.0	0.0	0.0	0.22691	0.0	0.6803	0.0	0.0	0.0	0.0	0.03636	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB33512|s__GGB33512_SGB15201	0.0	0.0	0.12471	0.0	1.90462	0.0	0.0	0.0	0.0	0.72641	0.0	0.0	0.0	1.31139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02341	0.0	0.23072	0.0	0.0	0.0	0.0	0.0	0.0	0.20148	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898|f__FGB2898|g__GGB9211|s__GGB9211_SGB14151	0.0	0.0	0.11128	0.0	0.15986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9770|s__GGB9770_SGB15389	0.0	0.0	0.10651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20299	0.31751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
