Feature ID	Taxon	Confidence
9629ac0b97bd81bb55b966e203f5253e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	0.7008132232664903
3b8d92e1898f24c7ee23549396eab5d1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.7638661969288298
ada2a776d53aefaa7a18266384ce1d1f	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured;s__	0.9945837934992853
ff6b274c1e667e2acbbb42e3c75ac3ff	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	0.9874817167183146
0b35733cca241a3d9340ccaa6eca0dd7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.8565452140009626
d0384a7551eea9da3c8855cd7f474072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.7736063807846053
27425d9ad467275b163b1518b90af66b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.8458270704279982
c8c4095a4990ff65032a889a854a0ce6	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__	0.8243268732568987
85ae68daf65e5d16a6ee52ffaeffee21	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__	0.8136775106195935
b37d1b3b4c05caa50a5d9776079db571	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	0.9980356022061392
64283d78cd344d90dfcf5f65cd92fa74	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__	0.9759751884883766
f59820a0732bc744b61324571bdca052	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.7206535804997583
d2bc0e4a08e68cc1f91a24f79a7b848c	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9986699703233465
3f4e755f64bfc6f7a9d0545185ab585d	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9948444838979088
86f1964095b8444a5e55381d817193a3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.9840918191644749
